claim_id,dataset,detector,seed_or_seed_aggregation,phase_rule,nominal_fpr_target,evaluation_unit,analysis_detail,metric,metric_definition,exact_numeric_value,value_unit,ci_lower_95,ci_upper_95,ci_method,ci_source_csv,ci_source_rows,source_csv,source_file,source_rows,corresponding_figure,evidence_status
E000001,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.005344434755703074,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000002,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.00013040724319087895,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000003,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.002588547986363899,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000004,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.012436211401912632,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000005,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.012305804158721753,fraction difference,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000006,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.009847663415548734,fraction difference,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000007,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,max_min_phase_ratio,Maximum divided by minimum of the three phase healthy row-FPRs.,95.36442223312375,ratio,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000008,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.097957396741138,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000009,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,score_only_phase_balanced_accuracy,Balanced accuracy of phase classification using detector score alone.,0.5085644804752123,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000010,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,healthy_flights_with_alarm_climb,Fraction of healthy flights with at least one climb-phase false alarm.,0.1111111111111111,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000011,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,false_alarm_events_per_healthy_flight_climb,Mean number of contiguous climb-phase false-alarm events per healthy flight.,0.2222222222222222,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000012,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,healthy_flights_with_alarm_cruise,Fraction of healthy flights with at least one cruise-phase false alarm.,0.8888888888888888,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000013,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,false_alarm_events_per_healthy_flight_cruise,Mean number of contiguous cruise-phase false-alarm events per healthy flight.,5.777777777777778,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000014,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,healthy_flights_with_alarm_descent,Fraction of healthy flights with at least one descent-phase false alarm.,1.0,fraction,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000015,DS02 discovery,pca,-1,primary,0.005,engine_11,canonical,false_alarm_events_per_healthy_flight_descent,Mean number of contiguous descent-phase false-alarm events per healthy flight.,24.61111111111111,events per healthy flight,,,,,,results/final_validation/canonical_results.csv,,2,,exploratory
E000016,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.005382742015829966,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000017,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.0013887754268442122,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000018,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.002007370344848249,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000019,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.011444652908067543,fraction,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000020,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.01005587748122333,fraction difference,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
E000021,DS02 discovery,pca,-1,primary,0.005,engine_14,canonical,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.009437282563219294,fraction difference,,,,,,results/final_validation/canonical_results.csv,,3,,exploratory
