manuscript_key,selection_group,dataset,detector,correction,seed_or_aggregation,phase_rule,nominal_fpr_target,evaluation_unit,metric,metric_definition,exact_value,display_rounded_value,units,ci_lower_95_exact,ci_upper_95_exact,ci_display_rounded,ci_method,evidence_id,original_source_csv,original_source_rows,exploratory_or_confirmatory
D02-PCA-SINGLE-overall_fpr,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,overall_fpr,"Healthy audit rows alarmed / all healthy audit rows, pooled or within engine as indicated.",0.013626928769166477,1.363%,fraction,0.00899015893193616,0.022621665918024992,"[0.899%, 2.262%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000106,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-climb_fpr,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,climb_fpr,Healthy climb audit rows alarmed / healthy climb audit rows.,0.001246643651706943,0.125%,fraction,0.00015253197752886118,0.003668322157451112,"[0.015%, 0.367%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000107,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-cruise_fpr,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,cruise_fpr,Healthy cruise audit rows alarmed / healthy cruise audit rows.,0.0042796663936600955,0.428%,fraction,0.0026682453251534437,0.00658948110591027,"[0.267%, 0.659%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000108,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-descent_fpr,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,descent_fpr,Healthy descent audit rows alarmed / healthy descent audit rows.,0.03459355844084205,3.459%,fraction,0.021710782484482414,0.05836811003059234,"[2.171%, 5.837%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000109,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-descent_minus_climb,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,descent_minus_climb,Descent healthy row-FPR minus climb healthy row-FPR; percentage-point difference when multiplied by 100.,0.0333469147891351,+3.335 pp,fraction difference,0.020703107398622304,0.056288965878956626,"[+2.070 pp, +5.629 pp]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000110,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-descent_minus_cruise,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,descent_minus_cruise,Descent healthy row-FPR minus cruise healthy row-FPR; percentage-point difference when multiplied by 100.,0.03031389204718195,+3.031 pp,fraction difference,0.0180799251250858,0.05261046857831793,"[+1.808 pp, +5.261 pp]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000111,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-worst_cross_phase_transfer_fpr,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,worst_cross_phase_transfer_fpr,Maximum audit healthy row-FPR among off-diagonal calibration-phase to audit-phase threshold transfers.,0.15555034579767904,15.555%,fraction,0.10795916123433531,0.24694247605415273,"[10.796%, 24.694%]",hierarchical engine-then-flight bootstrap; threshold re-estimated; 2000 replicates,E000113,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-healthy_flights_with_alarm_climb,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,healthy_flights_with_alarm_climb,Fraction of healthy flights with at least one climb-phase false alarm.,0.13157894736842105,13.158%,fraction,,,,,E000115,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-false_alarm_events_per_healthy_flight_climb,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,false_alarm_events_per_healthy_flight_climb,Mean number of contiguous climb-phase false-alarm events per healthy flight.,0.3157894736842105,0.316 events/flight,events per healthy flight,,,,,E000116,results/final_validation/canonical_results.csv,9,exploratory
D02-PCA-SINGLE-healthy_flights_with_alarm_cruise,frozen primary pooled endpoint,DS02 discovery,pca,history,-1,primary,0.01,pooled,healthy_flights_with_alarm_cruise,Fraction of healthy flights with at least one cruise-phase false alarm.,0.5,50.000%,fraction,,,,,E000117,results/final_validation/canonical_results.csv,9,exploratory
