detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
pca,-1,primary,0.005,10,1,3,overall,16653,79,1,52
pca,-1,primary,0.005,10,1,3,climb,4219,24,1,21
pca,-1,primary,0.005,10,1,3,cruise,7912,7,1,5
pca,-1,primary,0.005,10,1,3,descent,4522,48,1,26
pca,-1,primary,0.005,10,2,3,overall,17730,98,1,55
pca,-1,primary,0.005,10,2,3,climb,1698,38,1,11
pca,-1,primary,0.005,10,2,3,cruise,11473,23,1,17
pca,-1,primary,0.005,10,2,3,descent,4559,37,1,27
pca,-1,primary,0.005,10,3,3,overall,16051,167,1,54
pca,-1,primary,0.005,10,3,3,climb,4740,1,1,1
pca,-1,primary,0.005,10,3,3,cruise,6179,23,1,9
pca,-1,primary,0.005,10,3,3,descent,5132,143,1,44
pca,-1,primary,0.005,10,4,3,overall,14472,125,1,39
pca,-1,primary,0.005,10,4,3,climb,3925,4,1,3
pca,-1,primary,0.005,10,4,3,cruise,4355,7,1,7
pca,-1,primary,0.005,10,4,3,descent,6192,114,1,29
pca,-1,primary,0.005,10,5,3,overall,13680,74,1,33
pca,-1,primary,0.005,10,5,3,climb,3004,0,0,0
pca,-1,primary,0.005,10,5,3,cruise,4958,21,1,6
pca,-1,primary,0.005,10,5,3,descent,5718,53,1,27
pca,-1,primary,0.005,10,6,3,overall,16169,45,1,24
pca,-1,primary,0.005,10,6,3,climb,2789,1,1,1
pca,-1,primary,0.005,10,6,3,cruise,7591,21,1,7
pca,-1,primary,0.005,10,6,3,descent,5789,23,1,16
pca,-1,primary,0.005,10,7,3,overall,16872,342,1,44
pca,-1,primary,0.005,10,7,3,climb,4973,213,1,10
pca,-1,primary,0.005,10,7,3,cruise,5553,36,1,10
pca,-1,primary,0.005,10,7,3,descent,6346,93,1,24
pca,-1,primary,0.005,10,8,3,overall,13282,48,1,35
pca,-1,primary,0.005,10,8,3,climb,1125,0,0,0
pca,-1,primary,0.005,10,8,3,cruise,7772,15,1,11
pca,-1,primary,0.005,10,8,3,descent,4385,33,1,24
pca,-1,primary,0.005,10,9,3,overall,13229,658,1,101
pca,-1,primary,0.005,10,9,3,climb,6639,29,1,21
pca,-1,primary,0.005,10,9,3,cruise,3362,442,1,39
pca,-1,primary,0.005,10,9,3,descent,3228,187,1,42
pca,-1,primary,0.005,10,10,3,overall,13085,164,1,34
pca,-1,primary,0.005,10,10,3,climb,2517,0,0,0
pca,-1,primary,0.005,10,10,3,cruise,4499,68,1,6
pca,-1,primary,0.005,10,10,3,descent,6069,96,1,28
pca,-1,primary,0.005,10,11,3,overall,17290,227,1,66
pca,-1,primary,0.005,10,11,3,climb,6168,115,1,18
pca,-1,primary,0.005,10,11,3,cruise,4391,28,1,7
pca,-1,primary,0.005,10,11,3,descent,6731,84,1,41
pca,-1,primary,0.005,10,12,3,overall,14185,205,1,111
pca,-1,primary,0.005,10,12,3,climb,4709,0,0,0
pca,-1,primary,0.005,10,12,3,cruise,4064,101,1,43
pca,-1,primary,0.005,10,12,3,descent,5412,104,1,68
pca,-1,primary,0.005,10,13,3,overall,13817,48,1,16
pca,-1,primary,0.005,10,13,3,climb,4148,0,0,0
pca,-1,primary,0.005,10,13,3,cruise,3426,34,1,7
pca,-1,primary,0.005,10,13,3,descent,6243,14,1,9
pca,-1,primary,0.005,10,14,3,overall,16872,289,1,44
pca,-1,primary,0.005,10,14,3,climb,4973,178,1,14
pca,-1,primary,0.005,10,14,3,cruise,5553,39,1,11
pca,-1,primary,0.005,10,14,3,descent,6346,72,1,19
pca,-1,primary,0.005,10,15,3,overall,13926,190,1,54
pca,-1,primary,0.005,10,15,3,climb,4963,15,1,9
pca,-1,primary,0.005,10,15,3,cruise,4767,35,1,6
pca,-1,primary,0.005,10,15,3,descent,4196,140,1,39
pca,-1,primary,0.005,10,16,3,overall,9649,13,1,12
pca,-1,primary,0.005,10,16,3,climb,1809,0,0,0
pca,-1,primary,0.005,10,16,3,cruise,2108,0,0,0
pca,-1,primary,0.005,10,16,3,descent,5732,13,1,12
pca,-1,primary,0.005,10,17,3,overall,12886,38,1,34
pca,-1,primary,0.005,10,17,3,climb,1429,0,0,0
pca,-1,primary,0.005,10,17,3,cruise,7218,0,0,0
pca,-1,primary,0.005,10,17,3,descent,4239,38,1,34
pca,-1,primary,0.005,11,1,3,overall,13033,85,1,45
pca,-1,primary,0.005,11,1,3,climb,3144,0,0,0
pca,-1,primary,0.005,11,1,3,cruise,4668,32,1,17
pca,-1,primary,0.005,11,1,3,descent,5221,53,1,28
