detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight
pca,-1,primary,0.005,10,3,climb,17,0.5882352941176471,6.411764705882353
pca,-1,primary,0.005,10,3,cruise,17,0.8823529411764706,11.235294117647058
pca,-1,primary,0.005,10,3,descent,17,1.0,29.941176470588236
pca,-1,primary,0.005,10,3,overall,17,1.0,47.529411764705884
pca,-1,primary,0.005,11,3,climb,18,0.3333333333333333,2.6666666666666665
pca,-1,primary,0.005,11,3,cruise,18,0.9444444444444444,14.833333333333334
pca,-1,primary,0.005,11,3,descent,18,1.0,33.611111111111114
pca,-1,primary,0.005,11,3,overall,18,1.0,51.111111111111114
pca,-1,primary,0.005,12,1,climb,36,0.6388888888888888,0.9722222222222222
pca,-1,primary,0.005,12,1,cruise,36,0.6388888888888888,3.2777777777777777
pca,-1,primary,0.005,12,1,descent,36,0.9722222222222222,8.86111111111111
pca,-1,primary,0.005,12,1,overall,36,1.0,13.11111111111111
pca,-1,primary,0.005,13,3,climb,18,0.5,8.444444444444445
pca,-1,primary,0.005,13,3,cruise,18,0.7777777777777778,5.055555555555555
pca,-1,primary,0.005,13,3,descent,18,1.0,28.77777777777778
pca,-1,primary,0.005,13,3,overall,18,1.0,42.27777777777778
pca,-1,primary,0.005,14,1,climb,35,0.5714285714285714,1.1142857142857143
pca,-1,primary,0.005,14,1,cruise,35,0.4857142857142857,4.4
pca,-1,primary,0.005,14,1,descent,35,1.0,10.314285714285715
pca,-1,primary,0.005,14,1,overall,35,1.0,15.82857142857143
pca,-1,primary,0.005,15,2,climb,24,0.4166666666666667,4.666666666666667
pca,-1,primary,0.005,15,2,cruise,24,0.5416666666666666,5.958333333333333
pca,-1,primary,0.005,15,2,descent,24,1.0,15.708333333333334
pca,-1,primary,0.005,15,2,overall,24,1.0,26.333333333333332
pca,-1,primary,0.005,all,mixed,climb,148,0.527027027027027,3.3445945945945947
pca,-1,primary,0.005,all,mixed,cruise,148,0.668918918918919,6.513513513513513
pca,-1,primary,0.005,all,mixed,descent,148,0.9932432432432432,18.16891891891892
pca,-1,primary,0.005,all,mixed,overall,148,1.0,28.02027027027027
pca,-1,primary,0.01,10,3,climb,17,0.7647058823529411,7.764705882352941
pca,-1,primary,0.01,10,3,cruise,17,0.8823529411764706,17.823529411764707
pca,-1,primary,0.01,10,3,descent,17,1.0,49.0
pca,-1,primary,0.01,10,3,overall,17,1.0,74.47058823529412
pca,-1,primary,0.01,11,3,climb,18,0.5555555555555556,2.7222222222222223
pca,-1,primary,0.01,11,3,cruise,18,1.0,23.72222222222222
pca,-1,primary,0.01,11,3,descent,18,1.0,51.333333333333336
pca,-1,primary,0.01,11,3,overall,18,1.0,77.77777777777777
pca,-1,primary,0.01,12,1,climb,36,0.7777777777777778,1.9444444444444444
pca,-1,primary,0.01,12,1,cruise,36,0.7222222222222222,5.361111111111111
pca,-1,primary,0.01,12,1,descent,36,0.9722222222222222,15.944444444444445
