detector,seed,phase_rule,nominal_fpr_target,metric,bootstrap_unit,threshold_reestimated,replicates,bootstrap_mean,ci_lower_95,ci_upper_95
isolation_forest,0,primary,0.01,overall_fpr,engine_then_flight,True,2000,0.013850096038899678,0.008447759341560817,0.020346373647058394
isolation_forest,0,primary,0.01,climb_fpr,engine_then_flight,True,2000,0.004309262426126415,0.002361062497838201,0.006934171495876166
isolation_forest,0,primary,0.01,cruise_fpr,engine_then_flight,True,2000,0.01099889789724768,0.006533088239745607,0.016621506441365053
isolation_forest,0,primary,0.01,descent_fpr,engine_then_flight,True,2000,0.0220790384255574,0.012725583947952573,0.034079673539364384
isolation_forest,0,primary,0.01,descent_minus_climb,engine_then_flight,True,2000,0.017769775999430984,0.009006110881637197,0.02847426080659881
isolation_forest,0,primary,0.01,descent_minus_cruise,engine_then_flight,True,2000,0.01108014052830972,0.004038358914048921,0.01993973156877138
isolation_forest,0,primary,0.01,worst_cross_phase_transfer_fpr,engine_then_flight,True,2000,0.11780850725098503,0.030147264221283554,0.2848114962687087
pca,-1,primary,0.01,overall_fpr,engine_then_flight,True,2000,0.01355640986152715,0.009756758579101122,0.01795879145233981
pca,-1,primary,0.01,climb_fpr,engine_then_flight,True,2000,0.008794993585468648,0.004097430218992493,0.014955365904990045
pca,-1,primary,0.01,cruise_fpr,engine_then_flight,True,2000,0.009282666930560905,0.006052333410858267,0.013964194094537861
pca,-1,primary,0.01,descent_fpr,engine_then_flight,True,2000,0.019988729771732154,0.013764548527085887,0.026752364935433808
pca,-1,primary,0.01,descent_minus_climb,engine_then_flight,True,2000,0.011193736186263502,0.004343822436823924,0.01785487134121404
pca,-1,primary,0.01,descent_minus_cruise,engine_then_flight,True,2000,0.010706062841171246,0.005598350823840378,0.015725194061382813
pca,-1,primary,0.01,worst_cross_phase_transfer_fpr,engine_then_flight,True,2000,0.07744661745082267,0.03383872181490598,0.14028131150844372
isolation_forest,1,primary,0.01,overall_fpr,engine_then_flight,True,2000,0.013507638952638536,0.008466556559617587,0.019734409796369933
isolation_forest,1,primary,0.01,climb_fpr,engine_then_flight,True,2000,0.00407463328966243,0.002246756807691871,0.006518973281150404
isolation_forest,1,primary,0.01,cruise_fpr,engine_then_flight,True,2000,0.010676833986050778,0.006348013562123714,0.016386537696479853
isolation_forest,1,primary,0.01,descent_fpr,engine_then_flight,True,2000,0.021667343249994236,0.012671497809711593,0.033197877224181604
isolation_forest,1,primary,0.01,descent_minus_climb,engine_then_flight,True,2000,0.01759270996033181,0.008907228424133539,0.028329793294502966
isolation_forest,1,primary,0.01,descent_minus_cruise,engine_then_flight,True,2000,0.010990509263943458,0.004256141442622302,0.0197642744021905
isolation_forest,1,primary,0.01,worst_cross_phase_transfer_fpr,engine_then_flight,True,2000,0.11948245888441629,0.03159652854996248,0.28795590070748794
isolation_forest,2,primary,0.01,overall_fpr,engine_then_flight,True,2000,0.013866514443265731,0.0083087826041034,0.02056403064281244
isolation_forest,2,primary,0.01,climb_fpr,engine_then_flight,True,2000,0.004269712812623396,0.0023270716626201983,0.006902534792120325
isolation_forest,2,primary,0.01,cruise_fpr,engine_then_flight,True,2000,0.011591584987091931,0.006526615568573557,0.0178458327059681
isolation_forest,2,primary,0.01,descent_fpr,engine_then_flight,True,2000,0.02166810157208541,0.012295731775397629,0.0333168115680922
isolation_forest,2,primary,0.01,descent_minus_climb,engine_then_flight,True,2000,0.01739838875946201,0.00871425447461691,0.02772223405467901
isolation_forest,2,primary,0.01,descent_minus_cruise,engine_then_flight,True,2000,0.010076516584993478,0.003467236620204281,0.018618125075398846
isolation_forest,2,primary,0.01,worst_cross_phase_transfer_fpr,engine_then_flight,True,2000,0.12399784154733985,0.02756236960842936,0.30239699281873106
lstm_autoencoder,0,primary,0.01,overall_fpr,engine_then_flight,True,2000,0.017803570623438958,0.009822512286292098,0.02915606075091781
lstm_autoencoder,0,primary,0.01,climb_fpr,engine_then_flight,True,2000,0.008063390020551736,0.004486109679610486,0.01329718109191263
lstm_autoencoder,0,primary,0.01,cruise_fpr,engine_then_flight,True,2000,0.018435508289471166,0.008762095614680467,0.03353706557696835
lstm_autoencoder,0,primary,0.01,descent_fpr,engine_then_flight,True,2000,0.023348180137862457,0.012304697907388328,0.03900236291292908
lstm_autoencoder,0,primary,0.01,descent_minus_climb,engine_then_flight,True,2000,0.015284790117310716,0.005359273688454145,0.028695533292438322
lstm_autoencoder,0,primary,0.01,descent_minus_cruise,engine_then_flight,True,2000,0.004912671848391289,-0.0022244415191092727,0.012008172975246251
lstm_autoencoder,0,primary,0.01,worst_cross_phase_transfer_fpr,engine_then_flight,True,2000,0.0551049211465036,0.026633780899283477,0.10567025264596203
lstm_autoencoder,1,primary,0.01,overall_fpr,engine_then_flight,True,2000,0.018139346335234903,0.009375711745841368,0.030382353867718995
lstm_autoencoder,1,primary,0.01,climb_fpr,engine_then_flight,True,2000,0.0076732713032257585,0.004078800137354215,0.012831122207453555
lstm_autoencoder,1,primary,0.01,cruise_fpr,engine_then_flight,True,2000,0.019471726006232985,0.009076020756281214,0.03569346598450992
lstm_autoencoder,1,primary,0.01,descent_fpr,engine_then_flight,True,2000,0.023554884290871242,0.011634964717341323,0.04019754749559001
lstm_autoencoder,1,primary,0.01,descent_minus_climb,engine_then_flight,True,2000,0.015881612987645486,0.0051207474498406015,0.030217135533803296
lstm_autoencoder,1,primary,0.01,descent_minus_cruise,engine_then_flight,True,2000,0.004083158284638265,-0.0027000604896187984,0.011575063839662832
lstm_autoencoder,1,primary,0.01,worst_cross_phase_transfer_fpr,engine_then_flight,True,2000,0.059636034561801436,0.026974955793358533,0.10875079606219773
lstm_autoencoder,2,primary,0.01,overall_fpr,engine_then_flight,True,2000,0.01855143118006741,0.008894513933691154,0.032622552338213706
lstm_autoencoder,2,primary,0.01,climb_fpr,engine_then_flight,True,2000,0.008311779703876886,0.004203446495052223,0.014511392233936708
lstm_autoencoder,2,primary,0.01,cruise_fpr,engine_then_flight,True,2000,0.020616943532431514,0.008450456864486571,0.03992612277574381
lstm_autoencoder,2,primary,0.01,descent_fpr,engine_then_flight,True,2000,0.023238535121691262,0.010419544512928905,0.041736683655366855
lstm_autoencoder,2,primary,0.01,descent_minus_climb,engine_then_flight,True,2000,0.014926755417814378,0.0037902315514733676,0.030589005904957674
lstm_autoencoder,2,primary,0.01,descent_minus_cruise,engine_then_flight,True,2000,0.0026215915892597503,-0.005818976466329913,0.01025440968126269
lstm_autoencoder,2,primary,0.01,worst_cross_phase_transfer_fpr,engine_then_flight,True,2000,0.05792651443609268,0.025508471706818032,0.1190760085436068
