detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
pca,-1,primary,0.005,10,3,overall,249848,2810,0.011246838077551152,0.3961209091260308
pca,-1,primary,0.005,10,3,climb,63828,618,0.0096822711035909,0.3961209091260308
pca,-1,primary,0.005,10,3,cruise,95181,900,0.009455668673369685,0.3961209091260308
pca,-1,primary,0.005,10,3,descent,90839,1292,0.014222965906714076,0.3961209091260308
pca,-1,primary,0.005,11,3,overall,261207,1999,0.007652934262864318,0.3961209091260308
pca,-1,primary,0.005,11,3,climb,63479,130,0.0020479213598197828,0.3961209091260308
pca,-1,primary,0.005,11,3,cruise,98352,487,0.004951602407678542,0.3961209091260308
pca,-1,primary,0.005,11,3,descent,99376,1382,0.013906778296570601,0.3961209091260308
pca,-1,primary,0.005,12,1,overall,155440,583,0.0037506433350488933,0.3961209091260308
pca,-1,primary,0.005,12,1,climb,35417,37,0.0010446960499195302,0.3961209091260308
pca,-1,primary,0.005,12,1,cruise,47845,153,0.0031978263141394085,0.3961209091260308
pca,-1,primary,0.005,12,1,descent,72178,393,0.005444872398791875,0.3961209091260308
pca,-1,primary,0.005,13,3,overall,251673,2290,0.009099108764150305,0.3961209091260308
pca,-1,primary,0.005,13,3,climb,66056,396,0.005994913406806346,0.3961209091260308
pca,-1,primary,0.005,13,3,cruise,81213,279,0.003435410586974992,0.3961209091260308
pca,-1,primary,0.005,13,3,descent,104404,1615,0.015468755986360676,0.3961209091260308
pca,-1,primary,0.005,14,1,overall,159581,707,0.004430351984258778,0.3961209091260308
pca,-1,primary,0.005,14,1,climb,33331,83,0.002490174312201854,0.3961209091260308
pca,-1,primary,0.005,14,1,cruise,52432,192,0.00366188587122368,0.3961209091260308
pca,-1,primary,0.005,14,1,descent,73818,432,0.005852231163130944,0.3961209091260308
pca,-1,primary,0.005,15,2,overall,216930,1844,0.008500437929285945,0.3961209091260308
pca,-1,primary,0.005,15,2,climb,64502,458,0.007100555021549719,0.3961209091260308
pca,-1,primary,0.005,15,2,cruise,61379,399,0.006500594665928086,0.3961209091260308
pca,-1,primary,0.005,15,2,descent,91049,987,0.010840316752517875,0.3961209091260308
pca,-1,primary,0.005,all,mixed,overall,1294679,10233,0.007903889690031274,0.3961209091260308
pca,-1,primary,0.005,all,mixed,climb,326613,1722,0.005272294734134894,0.3961209091260308
pca,-1,primary,0.005,all,mixed,cruise,436402,2410,0.005522431152927805,0.3961209091260308
pca,-1,primary,0.005,all,mixed,descent,531664,6101,0.01147529266604472,0.3961209091260308
pca,-1,primary,0.01,10,3,overall,249848,4214,0.016866254682847172,0.29109216283369227
pca,-1,primary,0.01,10,3,climb,63828,803,0.012580685592529924,0.29109216283369227
pca,-1,primary,0.01,10,3,cruise,95181,1187,0.012470976350322018,0.29109216283369227
