detector,seed,phase_definition,nominal_fpr,unit,flight_class,calibration_phase,test_phase,n,false_alarms,false_alarm_rate,threshold
pca,-1,primary,0.005,10,3,climb,climb,63828,831,0.013019364542207182,0.27688406671204874
pca,-1,primary,0.005,10,3,climb,cruise,95181,1272,0.013364011725029155,0.27688406671204874
pca,-1,primary,0.005,10,3,climb,descent,90839,2440,0.02686070960710708,0.27688406671204874
pca,-1,primary,0.005,11,3,climb,climb,63479,254,0.0040013232722632686,0.27688406671204874
pca,-1,primary,0.005,11,3,climb,cruise,98352,1042,0.010594598991377907,0.27688406671204874
pca,-1,primary,0.005,11,3,climb,descent,99376,2348,0.023627435195620675,0.27688406671204874
pca,-1,primary,0.005,12,1,climb,climb,35417,137,0.003868198887539882,0.27688406671204874
pca,-1,primary,0.005,12,1,climb,cruise,47845,549,0.011474553244853171,0.27688406671204874
pca,-1,primary,0.005,12,1,climb,descent,72178,854,0.011831860123583364,0.27688406671204874
pca,-1,primary,0.005,13,3,climb,climb,66056,838,0.012686205643696258,0.27688406671204874
pca,-1,primary,0.005,13,3,climb,cruise,81213,757,0.00932116779333358,0.27688406671204874
pca,-1,primary,0.005,13,3,climb,descent,104404,2543,0.024357304317842228,0.27688406671204874
pca,-1,primary,0.005,14,1,climb,climb,33331,264,0.007920554438810717,0.27688406671204874
pca,-1,primary,0.005,14,1,climb,cruise,52432,336,0.00640830027464144,0.27688406671204874
pca,-1,primary,0.005,14,1,climb,descent,73818,1259,0.017055460727735783,0.27688406671204874
pca,-1,primary,0.005,15,2,climb,climb,64502,767,0.011891104151809247,0.27688406671204874
pca,-1,primary,0.005,15,2,climb,cruise,61379,531,0.008651167337362941,0.27688406671204874
pca,-1,primary,0.005,15,2,climb,descent,91049,2241,0.024613120407692562,0.27688406671204874
pca,-1,primary,0.005,all,mixed,climb,climb,326613,3091,0.009463799665047012,0.27688406671204874
pca,-1,primary,0.005,all,mixed,climb,cruise,436402,4487,0.010281804391363926,0.27688406671204874
pca,-1,primary,0.005,all,mixed,climb,descent,531664,11685,0.021978166661650967,0.27688406671204874
pca,-1,primary,0.005,10,3,cruise,climb,63828,811,0.012706022435294855,0.28930590411301443
pca,-1,primary,0.005,10,3,cruise,cruise,95181,1195,0.012555026738529748,0.28930590411301443
pca,-1,primary,0.005,10,3,cruise,descent,90839,2250,0.024769096973766773,0.28930590411301443
pca,-1,primary,0.005,11,3,cruise,climb,63479,245,0.003859544101198822,0.28930590411301443
pca,-1,primary,0.005,11,3,cruise,cruise,98352,882,0.00896778916544656,0.28930590411301443
pca,-1,primary,0.005,11,3,cruise,descent,99376,2181,0.021946948961519885,0.28930590411301443
pca,-1,primary,0.005,12,1,cruise,climb,35417,118,0.0033317333483920152,0.28930590411301443
pca,-1,primary,0.005,12,1,cruise,cruise,47845,506,0.01057581774480092,0.28930590411301443
pca,-1,primary,0.005,12,1,cruise,descent,72178,777,0.010765053063260274,0.28930590411301443
pca,-1,primary,0.005,13,3,cruise,climb,66056,751,0.011369141334625167,0.28930590411301443
pca,-1,primary,0.005,13,3,cruise,cruise,81213,624,0.007683498947212885,0.28930590411301443
pca,-1,primary,0.005,13,3,cruise,descent,104404,2372,0.022719436036933452,0.28930590411301443
pca,-1,primary,0.005,14,1,cruise,climb,33331,250,0.007500525036752572,0.28930590411301443
pca,-1,primary,0.005,14,1,cruise,cruise,52432,310,0.005912419896246567,0.28930590411301443
pca,-1,primary,0.005,14,1,cruise,descent,73818,1078,0.014603484245035086,0.28930590411301443
pca,-1,primary,0.005,15,2,cruise,climb,64502,722,0.01119345136584912,0.28930590411301443
pca,-1,primary,0.005,15,2,cruise,cruise,61379,520,0.008471952948076704,0.28930590411301443
pca,-1,primary,0.005,15,2,cruise,descent,91049,1996,0.02192226163933706,0.28930590411301443
pca,-1,primary,0.005,all,mixed,cruise,climb,326613,2897,0.00886982453239767,0.28930590411301443
pca,-1,primary,0.005,all,mixed,cruise,cruise,436402,4037,0.009250645047456244,0.28930590411301443
pca,-1,primary,0.005,all,mixed,cruise,descent,531664,10654,0.020038971982304612,0.28930590411301443
pca,-1,primary,0.005,10,3,descent,climb,63828,87,0.001363038165068622,0.6091177472018299
pca,-1,primary,0.005,10,3,descent,cruise,95181,739,0.007764154610689108,0.6091177472018299
pca,-1,primary,0.005,10,3,descent,descent,90839,776,0.008542586334063563,0.6091177472018299
pca,-1,primary,0.005,11,3,descent,climb,63479,39,0.0006143764079459349,0.6091177472018299
pca,-1,primary,0.005,11,3,descent,cruise,98352,306,0.0031112737920937043,0.6091177472018299
