split,unit,cycle,flight_class,rows,alt_min,alt_max,climb_rows,cruise_rows,descent_rows,healthy_rows
dev,2,1,3,11764,10005.0,31021.0,3836,4826,3102,11764
dev,2,2,3,10501,10001.0,25036.0,3009,5528,1964,10501
dev,2,3,3,11093,10006.0,35033.0,6050,3132,1911,11093
dev,2,4,3,10723,10001.0,28027.0,2856,5859,2008,10723
dev,2,5,3,11457,10002.0,27017.0,3291,5172,2994,11457
dev,2,6,3,8535,10001.0,22007.0,1717,3407,3411,8535
dev,2,7,3,11921,10004.0,31028.0,5222,2178,4521,11921
dev,2,8,3,14929,10004.0,33035.0,4044,5466,5419,14929
dev,2,9,3,11007,10006.0,25016.0,2506,4386,4115,11007
dev,2,10,3,13237,10003.0,29017.0,5234,4129,3874,13237
dev,2,11,3,9571,10001.0,28033.0,4154,3260,2157,9571
dev,2,12,3,12874,10002.0,28022.0,3450,4660,4764,12874
dev,2,13,3,9831,10002.0,22010.0,2031,3448,4352,9831
dev,2,14,3,15884,10001.0,28021.0,3302,9592,2990,15884
dev,2,15,3,14529,10001.0,29020.0,3843,7965,2721,14529
dev,2,16,3,11007,10006.0,25016.0,2506,4386,4115,11007
dev,2,17,3,11093,10006.0,35033.0,6050,3132,1911,0
dev,2,18,3,5500,10001.0,20031.0,1264,1888,2348,0
dev,2,19,3,14256,10002.0,28024.0,2988,7325,3943,0
dev,2,20,3,12213,10001.0,25031.0,2741,5327,4145,0
dev,2,21,3,7694,10003.0,28021.0,3487,1572,2635,0
dev,2,22,3,11325,10003.0,31052.0,4102,3601,3622,0
dev,2,23,3,13140,10004.0,27018.0,2902,7069,3169,0
dev,2,24,3,10171,10004.0,18030.0,739,4918,4514,0
dev,2,25,3,8483,10004.0,23021.0,2634,3454,2395,0
dev,2,26,3,11764,10005.0,31021.0,3836,4826,3102,0
dev,2,27,3,13395,10001.0,29015.0,4412,6278,2705,0
dev,2,28,3,10822,10003.0,29025.0,3537,3108,4177,0
dev,2,29,3,8535,10001.0,22007.0,1717,3407,3411,0
dev,2,30,3,13073,10008.0,31027.0,4384,3774,4915,0
dev,2,31,3,9606,10004.0,16179.0,844,6898,1864,0
dev,2,32,3,7826,10004.0,28023.0,3319,2005,2502,0
dev,2,33,3,14262,10004.0,27048.0,5278,5961,3023,0
dev,2,34,3,12093,10002.0,29035.0,4566,4098,3429,0
dev,2,35,3,8535,10001.0,22007.0,1717,3407,3411,0
dev,2,36,3,13574,10002.0,28017.0,3316,6681,3577,0
dev,2,37,3,8623,10001.0,26016.0,3137,3097,2389,0
dev,2,38,3,9171,10002.0,22013.0,1955,4254,2962,0
dev,2,39,3,8826,10003.0,28013.0,4368,2947,1511,0
dev,2,40,3,15195,10002.0,31015.0,4381,5296,5518,0
dev,2,41,3,8128,10003.0,20009.0,1333,5226,1569,0
dev,2,42,3,9717,10001.0,31017.0,3628,3641,2448,0
dev,2,43,3,11007,10006.0,25016.0,2506,4386,4115,0
dev,2,44,3,8826,10003.0,28013.0,4368,2947,1511,0
dev,2,45,3,18169,10004.0,29022.0,4699,10468,3002,0
dev,2,46,3,9976,10004.0,23032.0,2090,4176,3710,0
dev,2,47,3,16456,10001.0,29027.0,3100,7501,5855,0
dev,2,48,3,8623,10001.0,26016.0,3137,3097,2389,0
dev,2,49,3,16668,10002.0,29027.0,2777,8259,5632,0
dev,2,50,3,13395,10001.0,29015.0,4412,6278,2705,0
dev,2,51,3,9728,10003.0,22010.0,1665,6550,1513,0
dev,2,52,3,17636,10001.0,31019.0,3612,10521,3503,0
dev,2,53,3,14463,10003.0,33028.0,3528,5654,5281,0
dev,2,54,3,14346,10006.0,27033.0,3405,2752,8189,0
dev,2,55,3,13270,10003.0,29018.0,3676,6624,2970,0
dev,2,56,3,10723,10001.0,28027.0,2856,5859,2008,0
dev,2,57,3,11461,10004.0,25023.0,2859,4216,4386,0
dev,2,58,3,8225,10005.0,22003.0,3062,1399,3764,0
dev,2,59,3,13050,10006.0,29023.0,3819,6062,3169,0
dev,2,60,3,11641,10004.0,29025.0,4606,2976,4059,0
dev,2,61,3,11389,10003.0,28015.0,4567,4819,2003,0
dev,2,62,3,9424,10003.0,23012.0,1771,5024,2629,0
dev,2,63,3,9606,10004.0,16179.0,844,6898,1864,0
dev,2,64,3,11325,10003.0,31052.0,4102,3601,3622,0
dev,2,65,3,11457,10002.0,27017.0,3291,5172,2994,0
dev,2,66,3,10074,10006.0,25017.0,2966,3960,3148,0
dev,2,67,3,14529,10001.0,29020.0,3843,7965,2721,0
dev,2,68,3,8535,10001.0,22007.0,1717,3407,3411,0
dev,2,69,3,9976,10004.0,23032.0,2090,4176,3710,0
dev,2,70,3,9728,10003.0,22010.0,1665,6550,1513,0
dev,2,71,3,10501,10001.0,25036.0,3009,5528,1964,0
dev,2,72,3,6014,10003.0,25010.0,2813,1476,1725,0
dev,2,73,3,13270,10003.0,29018.0,3676,6624,2970,0
dev,2,74,3,11036,10002.0,27020.0,3354,3193,4489,0
dev,2,75,3,12732,10001.0,31028.0,3641,4448,4643,0
dev,5,1,3,12343,10004.0,27033.0,3067,5992,3284,12343
dev,5,2,3,14175,10002.0,31026.0,4256,4659,5260,14175
dev,5,3,3,8755,10006.0,20017.0,1939,2703,4113,8755
dev,5,4,3,6941,10003.0,22008.0,1668,3880,1393,6941
dev,5,5,3,12383,10001.0,29019.0,4206,5523,2654,12383
dev,5,6,3,8734,10006.0,22008.0,1527,5495,1712,8734
dev,5,7,3,8128,10003.0,20009.0,1333,5226,1569,8128
dev,5,8,3,9976,10004.0,23032.0,2090,4176,3710,9976
dev,5,9,3,12874,10002.0,28022.0,3450,4660,4764,12874
dev,5,10,3,13050,10006.0,29023.0,3819,6062,3169,13050
dev,5,11,3,8928,10002.0,25019.0,2151,4055,2722,8928
dev,5,12,3,17636,10001.0,31019.0,3612,10521,3503,17636
dev,5,13,3,9717,10001.0,31017.0,3628,3641,2448,9717
dev,5,14,3,17398,10004.0,31019.0,3994,8806,4598,17398
dev,5,15,3,13940,10005.0,28020.0,3800,6079,4061,13940
dev,5,16,3,13572,10004.0,31017.0,4535,5191,3846,13572
dev,5,17,3,13850,10005.0,28028.0,3251,7821,2778,0
dev,5,18,3,10723,10001.0,28027.0,2856,5859,2008,0
dev,5,19,3,7826,10004.0,28023.0,3319,2005,2502,0
dev,5,20,3,10723,10001.0,28027.0,2856,5859,2008,0
dev,5,21,3,12874,10002.0,28022.0,3450,4660,4764,0
dev,5,22,3,11573,10002.0,27010.0,3378,2869,5326,0
dev,5,23,3,14331,10004.0,28029.0,2631,9164,2536,0
dev,5,24,3,17186,10001.0,29024.0,4356,7219,5611,0
dev,5,25,3,13008,10006.0,28013.0,2899,5755,4354,0
dev,5,26,3,14262,10004.0,27048.0,5278,5961,3023,0
dev,5,27,3,10440,10003.0,25016.0,3751,3291,3398,0
dev,5,28,3,12874,10002.0,28022.0,3450,4660,4764,0
dev,5,29,3,16470,10001.0,29039.0,2927,9014,4529,0
dev,5,30,3,13008,10005.0,27017.0,5028,4517,3463,0
dev,5,31,3,15140,10002.0,16826.0,772,1271,13097,0
dev,5,32,3,13008,10005.0,27017.0,5028,4517,3463,0
