detector,seed,phase_definition,nominal_fpr,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events,matched_fc
pca,-1,primary,0.005,11,1,3,overall,11007,30,1,23,True
pca,-1,primary,0.005,11,1,3,climb,2506,0,0,0,True
pca,-1,primary,0.005,11,1,3,cruise,4386,10,1,8,True
pca,-1,primary,0.005,11,1,3,descent,4115,20,1,15,True
pca,-1,primary,0.005,11,2,3,overall,17636,112,1,55,True
pca,-1,primary,0.005,11,2,3,climb,3612,0,0,0,True
pca,-1,primary,0.005,11,2,3,cruise,10521,25,1,14,True
pca,-1,primary,0.005,11,2,3,descent,3503,87,1,41,True
pca,-1,primary,0.005,11,3,3,overall,9831,37,1,27,True
pca,-1,primary,0.005,11,3,3,climb,2031,0,0,0,True
pca,-1,primary,0.005,11,3,3,cruise,3448,14,1,7,True
pca,-1,primary,0.005,11,3,3,descent,4352,23,1,20,True
pca,-1,primary,0.005,11,4,3,overall,13140,58,1,25,True
pca,-1,primary,0.005,11,4,3,climb,2902,0,0,0,True
pca,-1,primary,0.005,11,4,3,cruise,7069,0,0,0,True
pca,-1,primary,0.005,11,4,3,descent,3169,58,1,25,True
pca,-1,primary,0.005,11,5,3,overall,13751,152,1,68,True
pca,-1,primary,0.005,11,5,3,climb,2138,0,0,0,True
pca,-1,primary,0.005,11,5,3,cruise,6376,18,1,9,True
pca,-1,primary,0.005,11,5,3,descent,5237,134,1,59,True
pca,-1,primary,0.005,11,6,3,overall,11689,95,1,50,True
pca,-1,primary,0.005,11,6,3,climb,2583,0,0,0,True
pca,-1,primary,0.005,11,6,3,cruise,5477,32,1,20,True
pca,-1,primary,0.005,11,6,3,descent,3629,63,1,30,True
pca,-1,primary,0.005,11,7,3,overall,11007,35,1,19,True
pca,-1,primary,0.005,11,7,3,climb,2506,0,0,0,True
pca,-1,primary,0.005,11,7,3,cruise,4386,13,1,8,True
pca,-1,primary,0.005,11,7,3,descent,4115,22,1,11,True
pca,-1,primary,0.005,11,8,3,overall,8826,95,1,30,True
pca,-1,primary,0.005,11,8,3,climb,4368,2,1,1,True
pca,-1,primary,0.005,11,8,3,cruise,2947,59,1,4,True
pca,-1,primary,0.005,11,8,3,descent,1511,34,1,25,True
pca,-1,primary,0.005,11,9,3,overall,8928,24,1,18,True
pca,-1,primary,0.005,11,9,3,climb,2151,5,1,3,True
pca,-1,primary,0.005,11,9,3,cruise,4055,2,1,1,True
pca,-1,primary,0.005,11,9,3,descent,2722,17,1,14,True
pca,-1,primary,0.005,11,10,3,overall,13940,7,1,6,True
pca,-1,primary,0.005,11,10,3,climb,3800,0,0,0,True
pca,-1,primary,0.005,11,10,3,cruise,6079,2,1,2,True
