detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,healthy_flights,fraction_flights_with_false_alarm,events_per_healthy_flight,matched_fc
pca,-1,primary,0.005,11,3,climb,18,0.1111111111111111,0.2222222222222222,True
pca,-1,primary,0.005,11,3,cruise,18,0.8888888888888888,5.777777777777778,True
pca,-1,primary,0.005,11,3,descent,18,1.0,24.61111111111111,True
pca,-1,primary,0.005,11,3,overall,18,1.0,30.61111111111111,True
pca,-1,primary,0.005,14,1,climb,35,0.02857142857142857,0.2571428571428571,False
pca,-1,primary,0.005,14,1,cruise,35,0.3142857142857143,1.4,False
pca,-1,primary,0.005,14,1,descent,35,0.8571428571428571,3.914285714285714,False
pca,-1,primary,0.005,14,1,overall,35,0.9714285714285714,5.571428571428571,False
pca,-1,primary,0.005,15,2,climb,23,0.08695652173913043,0.391304347826087,False
pca,-1,primary,0.005,15,2,cruise,23,0.30434782608695654,2.739130434782609,False
pca,-1,primary,0.005,15,2,descent,23,0.8260869565217391,10.173913043478262,False
pca,-1,primary,0.005,15,2,overall,23,0.9130434782608695,13.304347826086957,False
pca,-1,primary,0.005,all,mixed,climb,76,0.06578947368421052,0.2894736842105263,False
pca,-1,primary,0.005,all,mixed,cruise,76,0.4473684210526316,2.8421052631578947,False
pca,-1,primary,0.005,all,mixed,descent,76,0.881578947368421,10.710526315789474,False
pca,-1,primary,0.005,all,mixed,overall,76,0.9605263157894737,13.842105263157896,False
pca,-1,primary,0.01,11,3,climb,18,0.1111111111111111,0.2777777777777778,True
pca,-1,primary,0.01,11,3,cruise,18,0.9444444444444444,7.611111111111111,True
pca,-1,primary,0.01,11,3,descent,18,1.0,37.77777777777778,True
pca,-1,primary,0.01,11,3,overall,18,1.0,45.666666666666664,True
pca,-1,primary,0.01,14,1,climb,35,0.14285714285714285,0.3142857142857143,False
pca,-1,primary,0.01,14,1,cruise,35,0.34285714285714286,3.142857142857143,False
pca,-1,primary,0.01,14,1,descent,35,0.9714285714285714,5.542857142857143,False
pca,-1,primary,0.01,14,1,overall,35,0.9714285714285714,9.0,False
pca,-1,primary,0.01,15,2,climb,23,0.13043478260869565,0.34782608695652173,False
pca,-1,primary,0.01,15,2,cruise,23,0.391304347826087,3.9130434782608696,False
pca,-1,primary,0.01,15,2,descent,23,1.0,14.956521739130435,False
pca,-1,primary,0.01,15,2,overall,23,1.0,19.217391304347824,False
pca,-1,primary,0.01,all,mixed,climb,76,0.13157894736842105,0.3157894736842105,False
pca,-1,primary,0.01,all,mixed,cruise,76,0.5,4.434210526315789,False
pca,-1,primary,0.01,all,mixed,descent,76,0.9868421052631579,16.026315789473685,False
pca,-1,primary,0.01,all,mixed,overall,76,0.9868421052631579,20.776315789473685,False
pca,-1,primary,0.02,11,3,climb,18,0.2777777777777778,0.8333333333333334,True
pca,-1,primary,0.02,11,3,cruise,18,0.9444444444444444,10.555555555555555,True
pca,-1,primary,0.02,11,3,descent,18,1.0,51.0,True
pca,-1,primary,0.02,11,3,overall,18,1.0,62.388888888888886,True
pca,-1,primary,0.02,14,1,climb,35,0.2571428571428571,0.8571428571428571,False
pca,-1,primary,0.02,14,1,cruise,35,0.6857142857142857,7.885714285714286,False
pca,-1,primary,0.02,14,1,descent,35,0.9714285714285714,10.771428571428572,False
pca,-1,primary,0.02,14,1,overall,35,0.9714285714285714,19.34285714285714,False
pca,-1,primary,0.02,15,2,climb,23,0.17391304347826086,0.9565217391304348,False
pca,-1,primary,0.02,15,2,cruise,23,0.5217391304347826,5.086956521739131,False
pca,-1,primary,0.02,15,2,descent,23,1.0,20.0,False
pca,-1,primary,0.02,15,2,overall,23,1.0,26.043478260869566,False
pca,-1,primary,0.02,all,mixed,climb,76,0.23684210526315788,0.881578947368421,False
pca,-1,primary,0.02,all,mixed,cruise,76,0.6973684210526315,7.671052631578948,False
pca,-1,primary,0.02,all,mixed,descent,76,0.9868421052631579,23.092105263157894,False
pca,-1,primary,0.02,all,mixed,overall,76,0.9868421052631579,31.56578947368421,False
pca,-1,alt_rate,0.005,11,3,climb,18,0.16666666666666666,0.8333333333333334,True
pca,-1,alt_rate,0.005,11,3,cruise,18,0.6666666666666666,4.277777777777778,True
pca,-1,alt_rate,0.005,11,3,descent,18,1.0,25.5,True
pca,-1,alt_rate,0.005,11,3,overall,18,1.0,30.61111111111111,True
pca,-1,alt_rate,0.005,14,1,climb,35,0.02857142857142857,0.2571428571428571,False
pca,-1,alt_rate,0.005,14,1,cruise,35,0.34285714285714286,1.2571428571428571,False
pca,-1,alt_rate,0.005,14,1,descent,35,0.9714285714285714,4.057142857142857,False
pca,-1,alt_rate,0.005,14,1,overall,35,0.9714285714285714,5.571428571428571,False
pca,-1,alt_rate,0.005,15,2,climb,23,0.08695652173913043,0.391304347826087,False
pca,-1,alt_rate,0.005,15,2,cruise,23,0.17391304347826086,1.0434782608695652,False
pca,-1,alt_rate,0.005,15,2,descent,23,0.9130434782608695,11.91304347826087,False
pca,-1,alt_rate,0.005,15,2,overall,23,0.9130434782608695,13.304347826086957,False
pca,-1,alt_rate,0.005,all,mixed,climb,76,0.07894736842105263,0.4342105263157895,False
pca,-1,alt_rate,0.005,all,mixed,cruise,76,0.3684210526315789,1.9078947368421053,False
pca,-1,alt_rate,0.005,all,mixed,descent,76,0.9605263157894737,11.513157894736842,False
pca,-1,alt_rate,0.005,all,mixed,overall,76,0.9605263157894737,13.842105263157896,False
pca,-1,alt_rate,0.01,11,3,climb,18,0.16666666666666666,0.9444444444444444,True
pca,-1,alt_rate,0.01,11,3,cruise,18,0.7222222222222222,5.333333333333333,True
pca,-1,alt_rate,0.01,11,3,descent,18,1.0,39.388888888888886,True
pca,-1,alt_rate,0.01,11,3,overall,18,1.0,45.666666666666664,True
pca,-1,alt_rate,0.01,14,1,climb,35,0.17142857142857143,0.34285714285714286,False
