detector,seed,phase_definition,nominal_fpr,phase,bootstrap_unit,repetitions,estimate,ci_lower_95,ci_upper_95
isolation_forest,0,alt_rate,0.005,climb,flight,500,0.0012901387492777598,0.0007163071285692376,0.002107059127212501
isolation_forest,0,alt_rate,0.005,cruise,flight,500,0.0017757483510908167,0.0010152122402917656,0.002696721626101219
isolation_forest,0,alt_rate,0.005,descent,flight,500,0.011429337983768193,0.007480704884265411,0.016156315086591325
isolation_forest,0,alt_rate,0.005,overall,flight,500,0.004957135897560221,0.003388307266288704,0.006507586027478035
isolation_forest,0,alt_rate,0.01,climb,flight,500,0.002762321616551768,0.0019214226298265658,0.003971465262930902
isolation_forest,0,alt_rate,0.01,cruise,flight,500,0.0037861491628614916,0.001973679182294172,0.006488567077668169
isolation_forest,0,alt_rate,0.01,descent,flight,500,0.02512576296196928,0.01945728226623402,0.03183427648621215
isolation_forest,0,alt_rate,0.01,overall,flight,500,0.010833200573522384,0.008502630200463324,0.013391694969995045
isolation_forest,0,alt_rate,0.02,climb,flight,500,0.006672312672645101,0.0045056877157758695,0.009940084082729159
isolation_forest,0,alt_rate,0.02,cruise,flight,500,0.006259512937595129,0.003472272812989411,0.010429022329894982
isolation_forest,0,alt_rate,0.02,descent,flight,500,0.07581326715406801,0.05994542136330782,0.09249122652776849
isolation_forest,0,alt_rate,0.02,overall,flight,500,0.03032234082098667,0.024846888940507593,0.037157052466369425
isolation_forest,0,primary,0.005,climb,flight,500,0.0013338215294486872,0.0006499644102976072,0.0023004669978074583
isolation_forest,0,primary,0.005,cruise,flight,500,0.0026646979432223233,0.0017196707064599313,0.0037851985963113497
isolation_forest,0,primary,0.005,descent,flight,500,0.010563550235473394,0.006702268393950009,0.015130725466000673
isolation_forest,0,primary,0.005,overall,flight,500,0.004957135897560221,0.0035265291143675766,0.006718695685086736
isolation_forest,0,primary,0.01,climb,flight,500,0.0028507166021550373,0.0018442108581754315,0.004067549936702016
isolation_forest,0,primary,0.01,cruise,flight,500,0.005663925065463899,0.003581204434547284,0.00814478476224742
isolation_forest,0,primary,0.01,descent,flight,500,0.023326690892040793,0.01769455002904419,0.03072238191013873
isolation_forest,0,primary,0.01,overall,flight,500,0.010833200573522384,0.008703251164935205,0.01371516744893549
isolation_forest,0,primary,0.02,climb,flight,500,0.006442445165114901,0.004671567970978953,0.008823212331103957
isolation_forest,0,primary,0.02,cruise,flight,500,0.01011662379309947,0.006711733305663283,0.014994982674193766
isolation_forest,0,primary,0.02,descent,flight,500,0.07336564915498493,0.05616499886769332,0.0943947330216963
isolation_forest,0,primary,0.02,overall,flight,500,0.03032234082098667,0.024828506926213738,0.03708902349711481
isolation_forest,1,alt_rate,0.005,climb,flight,500,0.0011001796696295007,0.0005017489721838698,0.0018476120716679914
isolation_forest,1,alt_rate,0.005,cruise,flight,500,0.0020928462709284626,0.0010633530824953582,0.003464770963123022
isolation_forest,1,alt_rate,0.005,descent,flight,500,0.012227513582399893,0.00844299522878181,0.016960000750259552
isolation_forest,1,alt_rate,0.005,overall,flight,500,0.005291921507782034,0.003683430048714104,0.007038836955427695
isolation_forest,1,alt_rate,0.01,climb,flight,500,0.0025011278820354114,0.001599778222221972,0.003660929951164035
isolation_forest,1,alt_rate,0.01,cruise,flight,500,0.003900304414003044,0.0018831920838545716,0.006614084280486593
isolation_forest,1,alt_rate,0.01,descent,flight,500,0.028137366691260313,0.021812410480033562,0.03656503240407921
isolation_forest,1,alt_rate,0.01,overall,flight,500,0.01183524853791043,0.009431329746190318,0.015413174488034417
isolation_forest,1,alt_rate,0.02,climb,flight,500,0.0059995409322241835,0.0044246593840672555,0.008609325621688351
isolation_forest,1,alt_rate,0.02,cruise,flight,500,0.0061897513952308475,0.003100115451012149,0.010017555064966327
isolation_forest,1,alt_rate,0.02,descent,flight,500,0.0713327520289758,0.057964525058154234,0.08776759811106105
isolation_forest,1,alt_rate,0.02,overall,flight,500,0.028558366985059327,0.02347070027502122,0.034704798265586326
isolation_forest,1,primary,0.005,climb,flight,500,0.0011333124106426753,0.0004547104346913674,0.0020914207404714646
isolation_forest,1,primary,0.005,cruise,flight,500,0.0029184786997196875,0.0017189802517875636,0.00423311893424913
