detector,seed,phase_definition,nominal_fpr,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
pca,-1,primary,0.005,11,3,overall,213306,1140,0.005344434755703074,0.7679242117073919,True
pca,-1,primary,0.005,11,3,climb,53678,7,0.00013040724319087895,0.7679242117073919,True
pca,-1,primary,0.005,11,3,cruise,86535,224,0.002588547986363899,0.7679242117073919,True
pca,-1,primary,0.005,11,3,descent,73093,909,0.012436211401912632,0.7679242117073919,True
pca,-1,primary,0.005,14,1,overall,72268,389,0.005382742015829966,0.7679242117073919,False
pca,-1,primary,0.005,14,1,climb,12241,17,0.0013887754268442122,0.7679242117073919,False
pca,-1,primary,0.005,14,1,cruise,33377,67,0.002007370344848249,0.7679242117073919,False
pca,-1,primary,0.005,14,1,descent,26650,305,0.011444652908067543,0.7679242117073919,False
pca,-1,primary,0.005,15,2,overall,147539,788,0.005340960695138235,0.7679242117073919,False
pca,-1,primary,0.005,15,2,climb,48789,27,0.0005534034311012728,0.7679242117073919,False
pca,-1,primary,0.005,15,2,cruise,53466,151,0.00282422474095687,0.7679242117073919,False
pca,-1,primary,0.005,15,2,descent,45284,610,0.013470541471601448,0.7679242117073919,False
pca,-1,primary,0.005,all,mixed,overall,433113,2317,0.005349643164716829,0.7679242117073919,False
pca,-1,primary,0.005,all,mixed,climb,114708,51,0.0004446071764828957,0.7679242117073919,False
pca,-1,primary,0.005,all,mixed,cruise,173378,442,0.0025493430539053397,0.7679242117073919,False
pca,-1,primary,0.005,all,mixed,descent,145027,1824,0.012576968426568845,0.7679242117073919,False
pca,-1,primary,0.01,11,3,overall,213306,2435,0.01141552511415525,0.5031777905496853,True
pca,-1,primary,0.01,11,3,climb,53678,52,0.0009687395208465294,0.5031777905496853,True
pca,-1,primary,0.01,11,3,cruise,86535,351,0.004056162246489859,0.5031777905496853,True
pca,-1,primary,0.01,11,3,descent,73093,2032,0.027800199745529667,0.5031777905496853,True
pca,-1,primary,0.01,14,1,overall,72268,1525,0.02110200918802236,0.5031777905496853,False
pca,-1,primary,0.01,14,1,climb,12241,36,0.0029409361980230375,0.5031777905496853,False
pca,-1,primary,0.01,14,1,cruise,33377,164,0.004913563232165863,0.5031777905496853,False
pca,-1,primary,0.01,14,1,descent,26650,1325,0.04971857410881801,0.5031777905496853,False
pca,-1,primary,0.01,15,2,overall,147539,1942,0.013162621408576715,0.5031777905496853,False
pca,-1,primary,0.01,15,2,climb,48789,55,0.0011273032855766668,0.5031777905496853,False
pca,-1,primary,0.01,15,2,cruise,53466,227,0.004245688848988142,0.5031777905496853,False
