detector,seed,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
pca,-1,primary,train,2,3,climb,57051,0.014191153423915305,0.008743374219050453,0.030703632053774934,0.042702588327291416,0.07016899219200505
pca,-1,primary,train,2,3,cruise,77394,0.04687941743474093,0.013375335866852717,0.05069398408669477,0.08853808162172437,0.31776982245012775
pca,-1,primary,train,2,3,descent,54418,0.1499012148136943,0.040836326522986126,0.14836912267387609,0.303034320659973,1.0558008092480713
pca,-1,primary,train,5,3,climb,49075,0.013469601447584616,0.007122997578717373,0.02711792346226205,0.04692228121910615,0.10006461969761538
pca,-1,primary,train,5,3,cruise,86669,0.028153974531164333,0.01190911390747033,0.057599689507291225,0.07712790772174861,0.12133404368634523
pca,-1,primary,train,5,3,descent,52806,0.11912085534267078,0.03818958233389916,0.13962387535611234,0.3162138978615816,0.7983307576642946
pca,-1,primary,train,10,3,climb,50427,0.0143242164702569,0.0059163836563535565,0.031699775330592185,0.05240138769435537,0.14841121807692806
pca,-1,primary,train,10,3,cruise,83833,0.02544489661051212,0.008791596716000214,0.042606507455231035,0.07163235639132536,0.1374565881001216
pca,-1,primary,train,10,3,descent,53790,0.12385378576141098,0.04202685506416923,0.135661826200141,0.24025667360123046,0.7486818968782438
pca,-1,primary,train,16,3,climb,52689,0.017250704428853035,0.011737659714124812,0.03485429463945156,0.05071983321643935,0.10671588323633152
pca,-1,primary,train,16,3,cruise,84042,0.03662615007206753,0.015422611415931584,0.0593557615366391,0.08871749057361912,0.24613307309170576
pca,-1,primary,train,16,3,descent,57888,0.26210681953349246,0.04720126617939896,0.16177942903403736,0.3157873707508098,0.8233085584333153
pca,-1,primary,train,all,mixed,climb,209242,0.014824412950676677,0.008382852644319948,0.03136935934486238,0.04784892898795266,0.10456265937233868
pca,-1,primary,train,all,mixed,cruise,331938,0.033980801756627994,0.012288181283870523,0.05402828510825475,0.08094394776939563,0.1857398064410357
pca,-1,primary,train,all,mixed,descent,218902,0.16574793697735882,0.042703418159807105,0.14655211525255782,0.29547596922100683,0.8278062446115755
pca,-1,primary,calibration,18,3,climb,56332,0.01765371155966448,0.01148510323846065,0.03035483778218681,0.053857519189427196,0.12422272797234109
pca,-1,primary,calibration,18,3,cruise,78219,0.04145221511113366,0.013538524086315087,0.042203118646368686,0.07035380709359443,0.15048341472912102
pca,-1,primary,calibration,18,3,descent,58738,0.15689526142366408,0.04763343426641811,0.13130233752928325,0.2945365787051886,0.7793255582876035
pca,-1,primary,calibration,20,3,climb,53830,0.01924046821402063,0.011096261371635573,0.044265075598410544,0.0662062072855233,0.11609905127195465
pca,-1,primary,calibration,20,3,cruise,68886,0.08574613089040416,0.013783539403213457,0.06787599385429322,0.10472876493131217,0.28702648098550243
pca,-1,primary,calibration,20,3,descent,70638,2.3284991190095337,0.04926130123985825,0.1621299870849063,0.26500608613643234,0.8860478566315478
pca,-1,primary,calibration,all,mixed,climb,110162,0.018429070673551224,0.011350548335390391,0.03912234003032102,0.060966834274851354,0.11982802975163058
pca,-1,primary,calibration,all,mixed,cruise,147105,0.062194070808566294,0.013632538242354688,0.05570421820808836,0.08968017608979302,0.20799064789624033
pca,-1,primary,calibration,all,mixed,descent,129376,1.3425692140280938,0.04834923693564022,0.1502856779415812,0.27494023610283036,0.823163341293131
pca,-1,primary,official_test,11,3,climb,53678,0.014634431038586224,0.008485788114230251,0.02554279423359026,0.04675869506450037,0.10062312735603628
pca,-1,primary,official_test,11,3,cruise,86535,0.04394182092215281,0.01142706538027182,0.051578851004438216,0.08649945360596896,0.21749026898263032
pca,-1,primary,official_test,11,3,descent,73093,0.1357733588024818,0.03975738815634232,0.16151303300822847,0.31628475417906815,0.8976139703137674
pca,-1,primary,official_test,14,1,climb,12241,0.047225520361566915,0.029002449965777128,0.08633765671855316,0.13201732879448905,0.33946373649353473
pca,-1,primary,official_test,14,1,cruise,33377,0.05476572841692209,0.03704310797997612,0.10223396657982703,0.1469257862953309,0.35621312474391853
