detector,seed,phase_definition,nominal_fpr,unit,flight_class,calibration_phase,test_phase,n,false_alarms,false_alarm_rate,threshold,matched_fc
pca,-1,primary,0.005,11,3,climb,climb,53678,164,0.0030552554119005924,0.16560500415516666,True
pca,-1,primary,0.005,11,3,climb,cruise,86535,1323,0.015288611544461778,0.16560500415516666,True
pca,-1,primary,0.005,11,3,climb,descent,73093,7160,0.097957396741138,0.16560500415516666,True
pca,-1,primary,0.005,14,1,climb,climb,12241,453,0.03700678049178989,0.16560500415516666,False
pca,-1,primary,0.005,14,1,climb,cruise,33377,1344,0.04026724990262756,0.16560500415516666,False
pca,-1,primary,0.005,14,1,climb,descent,26650,3596,0.1349343339587242,0.16560500415516666,False
pca,-1,primary,0.005,15,2,climb,climb,48789,259,0.005308573653897395,0.16560500415516666,False
pca,-1,primary,0.005,15,2,climb,cruise,53466,677,0.012662252646541727,0.16560500415516666,False
pca,-1,primary,0.005,15,2,climb,descent,45284,5784,0.12772723257662752,0.16560500415516666,False
pca,-1,primary,0.005,all,mixed,climb,climb,114708,876,0.0076367820901767965,0.16560500415516666,False
pca,-1,primary,0.005,all,mixed,climb,cruise,173378,3344,0.019287337493799676,0.16560500415516666,False
pca,-1,primary,0.005,all,mixed,climb,descent,145027,16540,0.11404772904355741,0.16560500415516666,False
pca,-1,primary,0.005,11,3,cruise,climb,53678,61,0.0011364059763776593,0.4709709720036737,True
pca,-1,primary,0.005,11,3,cruise,cruise,86535,377,0.004356618709192813,0.4709709720036737,True
pca,-1,primary,0.005,11,3,cruise,descent,73093,2230,0.03050907747663935,0.4709709720036737,True
pca,-1,primary,0.005,14,1,cruise,climb,12241,46,0.0037578629196961034,0.4709709720036737,False
pca,-1,primary,0.005,14,1,cruise,cruise,33377,189,0.005662582017557,0.4709709720036737,False
pca,-1,primary,0.005,14,1,cruise,descent,26650,1472,0.05523452157598499,0.4709709720036737,False
pca,-1,primary,0.005,15,2,cruise,climb,48789,59,0.0012092889790731517,0.4709709720036737,False
pca,-1,primary,0.005,15,2,cruise,cruise,53466,241,0.0045075375004675865,0.4709709720036737,False
pca,-1,primary,0.005,15,2,cruise,descent,45284,1874,0.04138327002914937,0.4709709720036737,False
pca,-1,primary,0.005,all,mixed,cruise,climb,114708,166,0.0014471527705129546,0.4709709720036737,False
pca,-1,primary,0.005,all,mixed,cruise,cruise,173378,807,0.004654569783940292,0.4709709720036737,False
pca,-1,primary,0.005,all,mixed,cruise,descent,145027,5576,0.03844801312858985,0.4709709720036737,False
pca,-1,primary,0.005,11,3,descent,climb,53678,0,0.0,1.740246198288133,True
pca,-1,primary,0.005,11,3,descent,cruise,86535,74,0.0008551453169237881,1.740246198288133,True
pca,-1,primary,0.005,11,3,descent,descent,73093,372,0.005089406646327282,1.740246198288133,True
pca,-1,primary,0.005,14,1,descent,climb,12241,2,0.00016338534433461317,1.740246198288133,False
pca,-1,primary,0.005,14,1,descent,cruise,33377,8,0.00023968601132516403,1.740246198288133,False
pca,-1,primary,0.005,14,1,descent,descent,26650,115,0.004315196998123828,1.740246198288133,False
pca,-1,primary,0.005,15,2,descent,climb,48789,11,0.00022546065711533336,1.740246198288133,False
pca,-1,primary,0.005,15,2,descent,cruise,53466,56,0.0010473946059177796,1.740246198288133,False
pca,-1,primary,0.005,15,2,descent,descent,45284,211,0.004659482377881812,1.740246198288133,False
pca,-1,primary,0.005,all,mixed,descent,climb,114708,13,0.00011333124106426754,1.740246198288133,False
pca,-1,primary,0.005,all,mixed,descent,cruise,173378,138,0.0007959487362871876,1.740246198288133,False
pca,-1,primary,0.005,all,mixed,descent,descent,145027,698,0.004812896908851456,1.740246198288133,False
pca,-1,primary,0.01,11,3,climb,climb,53678,334,0.006222288460821938,0.11985932733195781,True
pca,-1,primary,0.01,11,3,climb,cruise,86535,2479,0.0286473681169469,0.11985932733195781,True
pca,-1,primary,0.01,11,3,climb,descent,73093,9964,0.13631948339786298,0.11985932733195781,True
pca,-1,primary,0.01,14,1,climb,climb,12241,650,0.053100236908749286,0.11985932733195781,False
pca,-1,primary,0.01,14,1,climb,cruise,33377,2397,0.07181592114330228,0.11985932733195781,False
pca,-1,primary,0.01,14,1,climb,descent,26650,4370,0.16397748592870545,0.11985932733195781,False
pca,-1,primary,0.01,15,2,climb,climb,48789,625,0.01281026460882576,0.11985932733195781,False
pca,-1,primary,0.01,15,2,climb,cruise,53466,1071,0.020031421838177535,0.11985932733195781,False
pca,-1,primary,0.01,15,2,climb,descent,45284,8225,0.18163148131790477,0.11985932733195781,False
pca,-1,primary,0.01,all,mixed,climb,climb,114708,1609,0.01402692052864665,0.11985932733195781,False
pca,-1,primary,0.01,all,mixed,climb,cruise,173378,5947,0.0343007763384051,0.11985932733195781,False
pca,-1,primary,0.01,all,mixed,climb,descent,145027,22559,0.15555034579767904,0.11985932733195781,False
pca,-1,primary,0.01,11,3,cruise,climb,53678,124,0.00231007116509557,0.20799296362184,True
pca,-1,primary,0.01,11,3,cruise,cruise,86535,938,0.010839544692898826,0.20799296362184,True
pca,-1,primary,0.01,11,3,cruise,descent,73093,5543,0.07583489527040893,0.20799296362184,True
pca,-1,primary,0.01,14,1,cruise,climb,12241,376,0.03071644473490728,0.20799296362184,False
pca,-1,primary,0.01,14,1,cruise,cruise,33377,862,0.025826167720286425,0.20799296362184,False
pca,-1,primary,0.01,14,1,cruise,descent,26650,3028,0.11362101313320826,0.20799296362184,False
pca,-1,primary,0.01,15,2,cruise,climb,48789,166,0.003402406280104122,0.20799296362184,False
pca,-1,primary,0.01,15,2,cruise,cruise,53466,501,0.009370441027942992,0.20799296362184,False
pca,-1,primary,0.01,15,2,cruise,descent,45284,4656,0.10281777228160056,0.20799296362184,False
pca,-1,primary,0.01,all,mixed,cruise,climb,114708,666,0.0058060466576001675,0.20799296362184,False
pca,-1,primary,0.01,all,mixed,cruise,cruise,173378,2301,0.013271580015918974,0.20799296362184,False
pca,-1,primary,0.01,all,mixed,cruise,descent,145027,13227,0.0912037068959573,0.20799296362184,False
pca,-1,primary,0.01,11,3,descent,climb,53678,6,0.00011177763702075338,0.8242883951396902,True
pca,-1,primary,0.01,11,3,descent,cruise,86535,208,0.0024036517016236205,0.8242883951396902,True
pca,-1,primary,0.01,11,3,descent,descent,73093,818,0.011191222141655152,0.8242883951396902,True
pca,-1,primary,0.01,14,1,descent,climb,12241,17,0.0013887754268442122,0.8242883951396902,False
pca,-1,primary,0.01,14,1,descent,cruise,33377,61,0.0018276058363543757,0.8242883951396902,False
pca,-1,primary,0.01,14,1,descent,descent,26650,249,0.009343339587242027,0.8242883951396902,False
pca,-1,primary,0.01,15,2,descent,climb,48789,24,0.0004919141609789092,0.8242883951396902,False
pca,-1,primary,0.01,15,2,descent,cruise,53466,144,0.002693300415217147,0.8242883951396902,False
pca,-1,primary,0.01,15,2,descent,descent,45284,501,0.01106351029061037,0.8242883951396902,False
pca,-1,primary,0.01,all,mixed,descent,climb,114708,47,0.000409736025386198,0.8242883951396902,False
pca,-1,primary,0.01,all,mixed,descent,cruise,173378,413,0.0023820784643957134,0.8242883951396902,False
pca,-1,primary,0.01,all,mixed,descent,descent,145027,1568,0.010811779875471463,0.8242883951396902,False
pca,-1,primary,0.02,11,3,climb,climb,53678,948,0.017660866649279034,0.0858782969677629,True
pca,-1,primary,0.02,11,3,climb,cruise,86535,4376,0.05056913387646617,0.0858782969677629,True
pca,-1,primary,0.02,11,3,climb,descent,73093,15431,0.211114607417947,0.0858782969677629,True
pca,-1,primary,0.02,14,1,climb,climb,12241,1247,0.10187076219263132,0.0858782969677629,False
pca,-1,primary,0.02,14,1,climb,cruise,33377,5099,0.15276987146837642,0.0858782969677629,False
pca,-1,primary,0.02,14,1,climb,descent,26650,7130,0.26754221388367727,0.0858782969677629,False
pca,-1,primary,0.02,15,2,climb,climb,48789,1351,0.027690667978437764,0.0858782969677629,False
pca,-1,primary,0.02,15,2,climb,cruise,53466,1834,0.03430217334380728,0.0858782969677629,False
pca,-1,primary,0.02,15,2,climb,descent,45284,12296,0.27153078349969084,0.0858782969677629,False
pca,-1,primary,0.02,all,mixed,climb,climb,114708,3546,0.030913275447222513,0.0858782969677629,False
pca,-1,primary,0.02,all,mixed,climb,cruise,173378,11309,0.06522742216428844,0.0858782969677629,False
pca,-1,primary,0.02,all,mixed,climb,descent,145027,34857,0.24034834892813062,0.0858782969677629,False
