detector,phase_definition,subset,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
static,primary,official_test,11,1,3,overall,11007,94,1,42
static,primary,official_test,11,1,3,climb,2506,0,0,0
static,primary,official_test,11,1,3,cruise,4386,35,1,14
static,primary,official_test,11,1,3,descent,4115,59,1,28
static,primary,official_test,11,2,3,overall,17636,267,1,70
static,primary,official_test,11,2,3,climb,3612,0,0,0
static,primary,official_test,11,2,3,cruise,10521,37,1,12
static,primary,official_test,11,2,3,descent,3503,230,1,58
static,primary,official_test,11,3,3,overall,9831,259,1,75
static,primary,official_test,11,3,3,climb,2031,1,1,1
static,primary,official_test,11,3,3,cruise,3448,28,1,8
static,primary,official_test,11,3,3,descent,4352,230,1,66
static,primary,official_test,11,4,3,overall,13140,84,1,33
static,primary,official_test,11,4,3,climb,2902,0,0,0
static,primary,official_test,11,4,3,cruise,7069,0,0,0
static,primary,official_test,11,4,3,descent,3169,84,1,33
static,primary,official_test,11,5,3,overall,13751,126,1,68
static,primary,official_test,11,5,3,climb,2138,0,0,0
static,primary,official_test,11,5,3,cruise,6376,11,1,7
static,primary,official_test,11,5,3,descent,5237,115,1,61
static,primary,official_test,11,6,3,overall,11689,140,1,60
static,primary,official_test,11,6,3,climb,2583,0,0,0
static,primary,official_test,11,6,3,cruise,5477,36,1,19
static,primary,official_test,11,6,3,descent,3629,104,1,41
static,primary,official_test,11,7,3,overall,11007,100,1,45
static,primary,official_test,11,7,3,climb,2506,0,0,0
static,primary,official_test,11,7,3,cruise,4386,41,1,17
static,primary,official_test,11,7,3,descent,4115,59,1,28
static,primary,official_test,11,8,3,overall,8826,221,1,30
static,primary,official_test,11,8,3,climb,4368,22,1,5
static,primary,official_test,11,8,3,cruise,2947,120,1,2
static,primary,official_test,11,8,3,descent,1511,79,1,23
static,primary,official_test,11,9,3,overall,8928,152,1,43
static,primary,official_test,11,9,3,climb,2151,19,1,9
static,primary,official_test,11,9,3,cruise,4055,8,1,3
static,primary,official_test,11,9,3,descent,2722,125,1,31
static,primary,official_test,11,10,3,overall,13940,30,1,22
static,primary,official_test,11,10,3,climb,3800,0,0,0
static,primary,official_test,11,10,3,cruise,6079,4,1,2
static,primary,official_test,11,10,3,descent,4061,26,1,20
static,primary,official_test,11,11,3,overall,13751,116,1,54
static,primary,official_test,11,11,3,climb,2138,0,0,0
static,primary,official_test,11,11,3,cruise,6376,9,1,9
static,primary,official_test,11,11,3,descent,5237,107,1,45
static,primary,official_test,11,12,3,overall,14346,94,1,35
static,primary,official_test,11,12,3,climb,3405,3,1,1
static,primary,official_test,11,12,3,cruise,2752,24,1,6
static,primary,official_test,11,12,3,descent,8189,67,1,28
static,primary,official_test,11,13,3,overall,10704,100,1,32
static,primary,official_test,11,13,3,climb,2712,0,0,0
static,primary,official_test,11,13,3,cruise,4440,34,1,13
static,primary,official_test,11,13,3,descent,3552,66,1,19
static,primary,official_test,11,14,3,overall,11573,103,1,56
static,primary,official_test,11,14,3,climb,3378,0,0,0
static,primary,official_test,11,14,3,cruise,2869,5,1,5
static,primary,official_test,11,14,3,descent,5326,98,1,51
static,primary,official_test,11,15,3,overall,7701,39,1,21
static,primary,official_test,11,15,3,climb,2139,2,1,2
static,primary,official_test,11,15,3,cruise,1849,0,0,0
static,primary,official_test,11,15,3,descent,3713,37,1,19
static,primary,official_test,11,16,3,overall,11457,96,1,30
static,primary,official_test,11,16,3,climb,3291,0,0,0
static,primary,official_test,11,16,3,cruise,5172,2,1,1
static,primary,official_test,11,16,3,descent,2994,94,1,29
static,primary,official_test,11,17,3,overall,11457,100,1,27
static,primary,official_test,11,17,3,climb,3291,0,0,0
static,primary,official_test,11,17,3,cruise,5172,2,1,1
static,primary,official_test,11,17,3,descent,2994,98,1,26
static,primary,official_test,11,18,3,overall,12562,202,1,63
static,primary,official_test,11,18,3,climb,4727,0,0,0
static,primary,official_test,11,18,3,cruise,3161,10,1,4
static,primary,official_test,11,18,3,descent,4674,192,1,59
static,primary,official_test,14,1,1,overall,2551,22,1,7
static,primary,official_test,14,1,1,climb,79,0,0,0
static,primary,official_test,14,1,1,cruise,2364,15,1,4
static,primary,official_test,14,1,1,descent,108,7,1,3
static,primary,official_test,14,2,1,overall,1528,30,1,12
static,primary,official_test,14,2,1,climb,435,0,0,0
static,primary,official_test,14,2,1,cruise,592,4,1,3
static,primary,official_test,14,2,1,descent,501,26,1,9
static,primary,official_test,14,3,1,overall,1887,37,1,16
static,primary,official_test,14,3,1,climb,227,10,1,3
static,primary,official_test,14,3,1,cruise,1396,23,1,11
static,primary,official_test,14,3,1,descent,264,4,1,3
static,primary,official_test,14,4,1,overall,1303,79,1,25
static,primary,official_test,14,4,1,climb,87,7,1,1
static,primary,official_test,14,4,1,cruise,1069,48,1,18
static,primary,official_test,14,4,1,descent,147,24,1,7
