detector,phase_definition,subset,unit,flight_class,phase,healthy_flights,flights_with_false_alarm,fraction_flights_with_false_alarm,false_alarm_events,events_per_healthy_flight
static,primary,official_test,11,3,climb,18,5,0.2777777777777778,18,1.0
static,primary,official_test,11,3,cruise,18,16,0.8888888888888888,123,6.833333333333333
static,primary,official_test,11,3,descent,18,18,1.0,665,36.94444444444444
static,primary,official_test,11,3,overall,18,18,1.0,806,44.77777777777778
static,primary,official_test,14,1,climb,35,9,0.2571428571428571,16,0.45714285714285713
static,primary,official_test,14,1,cruise,35,25,0.7142857142857143,175,5.0
static,primary,official_test,14,1,descent,35,34,0.9714285714285714,240,6.857142857142857
static,primary,official_test,14,1,overall,35,35,1.0,424,12.114285714285714
static,primary,official_test,15,2,climb,23,3,0.13043478260869565,16,0.6956521739130435
static,primary,official_test,15,2,cruise,23,9,0.391304347826087,95,4.130434782608695
static,primary,official_test,15,2,descent,23,23,1.0,369,16.043478260869566
static,primary,official_test,15,2,overall,23,23,1.0,480,20.869565217391305
static,primary,official_test,all,mixed,climb,76,17,0.2236842105263158,50,0.6578947368421053
static,primary,official_test,all,mixed,cruise,76,50,0.6578947368421053,393,5.171052631578948
static,primary,official_test,all,mixed,descent,76,75,0.9868421052631579,1274,16.763157894736842
static,primary,official_test,all,mixed,overall,76,76,1.0,1710,22.5
static,alt_rate,official_test,11,3,climb,18,5,0.2777777777777778,23,1.2777777777777777
static,alt_rate,official_test,11,3,cruise,18,13,0.7222222222222222,93,5.166666666666667
static,alt_rate,official_test,11,3,descent,18,18,1.0,690,38.333333333333336
static,alt_rate,official_test,11,3,overall,18,18,1.0,806,44.77777777777778
static,alt_rate,official_test,14,1,climb,35,11,0.3142857142857143,22,0.6285714285714286
static,alt_rate,official_test,14,1,cruise,35,25,0.7142857142857143,155,4.428571428571429
static,alt_rate,official_test,14,1,descent,35,34,0.9714285714285714,247,7.057142857142857
static,alt_rate,official_test,14,1,overall,35,35,1.0,424,12.114285714285714
static,alt_rate,official_test,15,2,climb,23,3,0.13043478260869565,16,0.6956521739130435
static,alt_rate,official_test,15,2,cruise,23,5,0.21739130434782608,34,1.4782608695652173
static,alt_rate,official_test,15,2,descent,23,23,1.0,430,18.695652173913043
static,alt_rate,official_test,15,2,overall,23,23,1.0,480,20.869565217391305
static,alt_rate,official_test,all,mixed,climb,76,19,0.25,61,0.8026315789473685
static,alt_rate,official_test,all,mixed,cruise,76,43,0.5657894736842105,282,3.710526315789474
static,alt_rate,official_test,all,mixed,descent,76,75,0.9868421052631579,1367,17.986842105263158
static,alt_rate,official_test,all,mixed,overall,76,76,1.0,1710,22.5
static_derivative,primary,official_test,11,3,climb,18,2,0.1111111111111111,4,0.2222222222222222
static_derivative,primary,official_test,11,3,cruise,18,16,0.8888888888888888,140,7.777777777777778
static_derivative,primary,official_test,11,3,descent,18,18,1.0,785,43.611111111111114
static_derivative,primary,official_test,11,3,overall,18,18,1.0,929,51.611111111111114
static_derivative,primary,official_test,14,1,climb,35,2,0.05714285714285714,4,0.11428571428571428
static_derivative,primary,official_test,14,1,cruise,35,13,0.37142857142857144,125,3.5714285714285716
static_derivative,primary,official_test,14,1,descent,35,34,0.9714285714285714,251,7.171428571428572
static_derivative,primary,official_test,14,1,overall,35,34,0.9714285714285714,380,10.857142857142858
static_derivative,primary,official_test,15,2,climb,23,2,0.08695652173913043,6,0.2608695652173913
static_derivative,primary,official_test,15,2,cruise,23,8,0.34782608695652173,96,4.173913043478261
static_derivative,primary,official_test,15,2,descent,23,22,0.9565217391304348,415,18.043478260869566
static_derivative,primary,official_test,15,2,overall,23,22,0.9565217391304348,517,22.47826086956522
static_derivative,primary,official_test,all,mixed,climb,76,6,0.07894736842105263,14,0.18421052631578946
static_derivative,primary,official_test,all,mixed,cruise,76,37,0.4868421052631579,361,4.75
static_derivative,primary,official_test,all,mixed,descent,76,74,0.9736842105263158,1451,19.092105263157894
static_derivative,primary,official_test,all,mixed,overall,76,74,0.9736842105263158,1826,24.026315789473685
static_derivative,alt_rate,official_test,11,3,climb,18,3,0.16666666666666666,15,0.8333333333333334
static_derivative,alt_rate,official_test,11,3,cruise,18,13,0.7222222222222222,98,5.444444444444445
static_derivative,alt_rate,official_test,11,3,descent,18,18,1.0,816,45.333333333333336
static_derivative,alt_rate,official_test,11,3,overall,18,18,1.0,929,51.611111111111114
static_derivative,alt_rate,official_test,14,1,climb,35,2,0.05714285714285714,4,0.11428571428571428
static_derivative,alt_rate,official_test,14,1,cruise,35,13,0.37142857142857144,116,3.3142857142857145
static_derivative,alt_rate,official_test,14,1,descent,35,34,0.9714285714285714,260,7.428571428571429
static_derivative,alt_rate,official_test,14,1,overall,35,34,0.9714285714285714,380,10.857142857142858
