descriptor,spearman_rho,p_value_descriptive_only
TRA,-0.6526942597346199,0.0
mean30_TRA,-0.6489065522519845,0.0
mean120_TRA,-0.6380603648346018,0.0
Mach,-0.4706796128605285,0.0
slope30_alt,-0.4662455814940909,0.0
mean30_Mach,-0.4647817413326719,0.0
alt,-0.4598317934782062,0.0
std120_TRA,0.4563162971210285,0.0
mean30_alt,-0.4544767046312911,0.0
slope120_alt,-0.45400888237533515,0.0
d_alt,-0.4499528401862353,0.0
mean120_Mach,-0.4491329555005328,0.0
mean120_alt,-0.4389763060824923,0.0
T2,0.4198704012768962,0.0
mean30_T2,0.4157646468264696,0.0
mean120_T2,0.4022791124424717,0.0
std30_TRA,0.3958519311512177,0.0
slope120_Mach,-0.3850805550999429,0.0
slope120_T2,0.3666311282024395,0.0
slope30_Mach,-0.3233094362388211,0.0
slope30_T2,0.3193908817694118,0.0
std120_Mach,0.23259265092705544,0.0
std30_Mach,0.22867923736927692,0.0
std30_alt,0.18940555293472988,0.0
std120_alt,0.18703757352588632,0.0
std120_T2,0.1766849762953513,0.0
std30_T2,0.17319364257859232,0.0
d_T2,0.14561103628603428,0.0
slope120_TRA,-0.14207167578154423,0.0
d_Mach,-0.12676387434740033,0.0
slope30_TRA,-0.051971111620545456,9.958543541490798e-257
d_TRA,-0.029019155868635918,2.43663691711906e-81
