phase,sensor,mean_squared_reconstruction_error,fraction_of_total
climb,T24,0.02664111805358891,0.08251027676145097
climb,T30,0.06738414298717174,0.20869560639388166
climb,T48,0.01214449281746267,0.03761274063200623
climb,T50,0.016537126329160202,0.0512171774290183
climb,P15,0.015893462490457966,0.04922368446202531
climb,P2,0.0006372298218016266,0.00197356615633552
climb,P21,0.015893462508847597,0.049223684518979884
climb,P24,0.019547244264590726,0.06053982160023475
climb,Ps30,0.003031302657137254,0.009388255428507547
climb,P40,0.003607328619885584,0.011172266952068336
climb,P50,0.04613245375580642,0.14287694380617982
climb,Nf,0.03491462332325319,0.10813417168260878
climb,Nc,0.014435388988208031,0.044707881185031335
climb,Wf,0.04608304602450342,0.14272392299167178
cruise,T24,0.04516426469525583,0.06897700293152398
cruise,T30,0.0988233404551567,0.15092768343008942
cruise,T48,0.06178409199284904,0.09435958989408619
cruise,T50,0.09665058341873098,0.14760934603475553
cruise,P15,0.026031415411614207,0.03975640983583295
cruise,P2,0.0016644661856366372,0.0025420515476285567
cruise,P21,0.02603141533908708,0.03975640972506609
cruise,P24,0.03462633788977454,0.05288298229245397
cruise,Ps30,0.00947270988385031,0.014467170933405094
cruise,P40,0.009322440423698116,0.014237672300727805
cruise,P50,0.1010587724190023,0.15434174094135003
cruise,Nf,0.07769676995779992,0.1186621849223212
cruise,Nc,0.024135757821543986,0.03686127183171142
cruise,Wf,0.04231042468508747,0.06461848337904778
descent,T24,2.53943811909575,0.1601237741124631
descent,T30,0.15842205347207627,0.00998927160848798
descent,T48,0.6593288303916629,0.04157385049455833
descent,T50,0.3319490112374141,0.02093098000401837
descent,P15,0.9275905820097303,0.05848904279481437
descent,P2,0.01681700059653041,0.001060392684712023
descent,P21,0.9275907928714854,0.05848905609066111
descent,P24,1.2033082748384984,0.07587436801039546
descent,Ps30,0.2686005084338399,0.01693655254504402
descent,P40,0.27558805697931926,0.017377151052439276
descent,P50,4.192480418935692,0.2643560331415468
descent,Nf,3.9341973639765926,0.24807004560818083
descent,Nc,0.2839744453790773,0.017905953133358028
descent,Wf,0.13993428083353124,0.0088235287193204
