correction,subset,sensor,rmse,r2
static,train,T24,0.10816078950809328,0.9999653480365512
static,train,T30,0.5312348093671281,0.9999114819727495
static,train,T48,1.5512209023424692,0.9997550676176936
static,train,T50,1.428391492277384,0.9992277398502436
static,train,P15,0.003761370166160117,0.9999969765489515
static,train,P2,0.00011931960461211631,0.9999999955085783
static,train,P21,0.0038186499153135727,0.9999969765489508
static,train,P24,0.007883929793469939,0.999991070553598
static,train,Ps30,0.2164808191244184,0.9999760248787783
static,train,P40,0.21614356656386885,0.9999767986006085
static,train,P50,0.005259811023953321,0.999992394669597
static,train,Nf,0.9028996551460141,0.9999586708288615
static,train,Nc,1.3116603931830244,0.9999509987279562
static,train,Wf,0.004153099188737937,0.9999466055355193
static,calibration,T24,0.11216259037215122,0.9999626209023132
static,calibration,T30,0.6254587250279307,0.9998716509671897
static,calibration,T48,1.6839483143416896,0.9996938441751304
static,calibration,T50,1.642472604997264,0.9989643585455341
static,calibration,P15,0.004028368878327974,0.9999966713081241
static,calibration,P2,0.00012552311789684433,0.9999999952235714
static,calibration,P21,0.004089714597760044,0.9999966713081234
static,calibration,P24,0.008333439481639155,0.999990377057644
static,calibration,Ps30,0.23670608033677254,0.9999716855552871
static,calibration,P40,0.23709046586872945,0.9999724403360274
static,calibration,P50,0.005564087370717612,0.9999918173328717
static,calibration,Nf,0.9586274248874039,0.9999503041269278
static,calibration,Nc,1.465790609430668,0.9999359124662878
static,calibration,Wf,0.0044393749787256884,0.9999387740324285
static,official_test,T24,0.11613753959661903,0.9999582985277614
static,official_test,T30,0.48194783916310885,0.9999321488026702
static,official_test,T48,1.7386161366852804,0.9997218455965381
static,official_test,T50,1.5751081663655817,0.999095356620028
static,official_test,P15,0.004599373698202951,0.9999953911034205
static,official_test,P2,0.0001568302543791397,0.9999999920321294
static,official_test,P21,0.004669414920040108,0.9999953911034245
static,official_test,P24,0.00897174983795109,0.9999883546013308
static,official_test,Ps30,0.25108369540073683,0.9999699329414573
static,official_test,P40,0.25109915705252084,0.9999707652619415
static,official_test,P50,0.005931100024111116,0.9999904044381296
static,official_test,Nf,0.9653533359382113,0.9999575466935323
static,official_test,Nc,1.459420042459219,0.9999436417759735
static,official_test,Wf,0.0047998121540791345,0.999936390595805
static_derivative,train,T24,0.08897274316816389,0.9999765521994254
static_derivative,train,T30,0.519233148771693,0.9999154363930596
static_derivative,train,T48,1.1593476480999665,0.9998631873418211
static_derivative,train,T50,1.1435036208679534,0.9995050695164087
static_derivative,train,P15,0.0031763751414236588,0.999997843872854
static_derivative,train,P2,0.00011876793885065965,0.9999999955500138
static_derivative,train,P21,0.0032247463371086428,0.9999978438728532
static_derivative,train,P24,0.00651503771890267,0.9999939022037739
static_derivative,train,Ps30,0.20115240674439291,0.999979299900502
static_derivative,train,P40,0.20315704815676713,0.9999795028565203
static_derivative,train,P50,0.0028712521980866425,0.9999977336838922
static_derivative,train,Nf,0.7617024682753365,0.9999705863820533
static_derivative,train,Nc,1.2874995594817775,0.9999527873124757
static_derivative,train,Wf,0.00310462103382433,0.9999701620611827
static_derivative,calibration,T24,0.14391606790977887,0.9999384608743523
static_derivative,calibration,T30,1.3024396346950804,0.9994434419130934
static_derivative,calibration,T48,3.425373586215109,0.9987332208677819
static_derivative,calibration,T50,2.5722842449863763,0.9974598984930922
static_derivative,calibration,P15,0.007221438353939235,0.9999893029863918
static_derivative,calibration,P2,0.000754335412595881,0.9999998275016915
static_derivative,calibration,P21,0.0073314096713026295,0.9999893029858814
static_derivative,calibration,P24,0.012848254118746997,0.9999771257139436
static_derivative,calibration,Ps30,0.3606500652009939,0.9999342703603809
static_derivative,calibration,P40,0.35759756016292427,0.9999373047220644
static_derivative,calibration,P50,0.003449107141574004,0.9999968557260824
static_derivative,calibration,Nf,2.2925563953338983,0.9997157760427866
static_derivative,calibration,Nc,1.4506758112110238,0.9999372273550784
static_derivative,calibration,Wf,0.007188317465639938,0.9998394735891994
static_derivative,official_test,T24,0.1411861117885849,0.9999383702932083
static_derivative,official_test,T30,1.1914900484627358,0.9995852959471173
static_derivative,official_test,T48,3.258377224599781,0.9990230299497994
static_derivative,official_test,T50,2.411636512135015,0.9978792945913131
static_derivative,official_test,P15,0.007251821122370658,0.9999885423979457
static_derivative,official_test,P2,0.0007212453322507876,0.9999998314811034
static_derivative,official_test,P21,0.007362255102674177,0.9999885423974597
static_derivative,official_test,P24,0.012618581908568892,0.9999769632530388
static_derivative,official_test,Ps30,0.3577812703276811,0.9999389495143768
static_derivative,official_test,P40,0.3554668339123134,0.9999414122432932
static_derivative,official_test,P50,0.003181381919413552,0.9999972392217125
static_derivative,official_test,Nf,2.1821666602615486,0.9997830724307376
static_derivative,official_test,Nc,1.4469157647897315,0.9999446033906617
static_derivative,official_test,Wf,0.006991734070865609,0.9998650283215016
history,train,T24,0.08574076643124537,0.9999782247638849
history,train,T30,0.5081061009355357,0.9999190219160632
history,train,T48,1.129878587367375,0.9998700541342342
history,train,T50,1.1268913974090737,0.9995193452457318
history,train,P15,0.003145010309469067,0.999997886243592
history,train,P2,0.000386739745494028,0.9999999528156654
history,train,P21,0.0031929038684525243,0.9999978862435907
history,train,P24,0.006196013737861346,0.9999944847680446
history,train,Ps30,0.1987516193753188,0.9999797910700585
history,train,P40,0.20074869923273136,0.9999799859475734
history,train,P50,0.002844045287455695,0.9999977764299309
history,train,Nf,0.7397410057527257,0.999972258042114
history,train,Nc,1.2708652643882101,0.9999539993928557
history,train,Wf,0.0030464235367645472,0.9999712702271515
history,calibration,T24,0.1140045491300126,0.9999613831260235
history,calibration,T30,0.9772375490393114,0.9996866746153451
history,calibration,T48,2.8422288075044624,0.9991278261012901
history,calibration,T50,2.210366914976278,0.9981243927644005
history,calibration,P15,0.006830406808607862,0.9999904300807652
history,calibration,P2,0.0011263910441829048,0.9999996153779079
history,calibration,P21,0.006934423349271402,0.9999904300802316
history,calibration,P24,0.010383480379511461,0.9999850601854786
history,calibration,Ps30,0.3257775065162086,0.9999463670838931
history,calibration,P40,0.32469983678460973,0.9999483096017002
history,calibration,P50,0.0034047818522120656,0.9999969360224036
history,calibration,Nf,1.9288893479165248,0.9997987966276383
history,calibration,Nc,1.4641460245898437,0.9999360561952202
history,calibration,Wf,0.005666513747064487,0.9999002474765974
history,official_test,T24,0.11415893990133874,0.9999597073343767
history,official_test,T30,0.865908233933499,0.9997809712222386
history,official_test,T48,2.727960434239045,0.9993152143331768
history,official_test,T50,2.0757810901220517,0.9984288424173383
history,official_test,P15,0.007010400252089277,0.999989292571159
history,official_test,P2,0.00110258741830495,0.9999996061701403
history,official_test,P21,0.007117157786169732,0.999989292570648
history,official_test,P24,0.010388381288119456,0.9999843866601711
