detector,phase_definition,subset,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
static,primary,train,2,3,overall,188863,1578,0.00835526280954978,0.386342093241334
static,primary,train,2,3,climb,57051,3,5.258452963138245e-05,0.386342093241334
static,primary,train,2,3,cruise,77394,385,0.004974545830426131,0.386342093241334
static,primary,train,2,3,descent,54418,1190,0.021867764342680732,0.386342093241334
static,primary,train,5,3,overall,188550,1556,0.008252452930257226,0.386342093241334
static,primary,train,5,3,climb,49075,28,0.0005705552725420275,0.386342093241334
static,primary,train,5,3,cruise,86669,97,0.0011192006369059294,0.386342093241334
static,primary,train,5,3,descent,52806,1431,0.02709919327349165,0.386342093241334
static,primary,train,10,3,overall,188050,1162,0.006179207657537889,0.386342093241334
static,primary,train,10,3,climb,50427,5,9.915323140381145e-05,0.386342093241334
static,primary,train,10,3,cruise,83833,183,0.002182911264060692,0.386342093241334
static,primary,train,10,3,descent,53790,974,0.01810745491727087,0.386342093241334
static,primary,train,16,3,overall,194619,1769,0.009089554462822232,0.386342093241334
static,primary,train,16,3,climb,52689,8,0.00015183434872554044,0.386342093241334
static,primary,train,16,3,cruise,84042,359,0.004271673686966041,0.386342093241334
static,primary,train,16,3,descent,57888,1402,0.0242191818684356,0.386342093241334
static,primary,train,all,mixed,overall,760082,6065,0.007979402222391794,0.386342093241334
static,primary,train,all,mixed,climb,209242,44,0.00021028283040689727,0.386342093241334
static,primary,train,all,mixed,cruise,331938,1024,0.0030849134476920387,0.386342093241334
static,primary,train,all,mixed,descent,218902,4997,0.022827566673671324,0.386342093241334
static,primary,calibration,18,3,overall,193289,2063,0.01067313711592486,0.386342093241334
static,primary,calibration,18,3,climb,56332,20,0.0003550379890648299,0.386342093241334
static,primary,calibration,18,3,cruise,78219,269,0.0034390621204566665,0.386342093241334
static,primary,calibration,18,3,descent,58738,1774,0.030201913582348736,0.386342093241334
static,primary,calibration,20,3,overall,193354,1803,0.009324865273022538,0.386342093241334
static,primary,calibration,20,3,climb,53830,49,0.0009102730819245773,0.386342093241334
static,primary,calibration,20,3,cruise,68886,367,0.00532764277211625,0.386342093241334
static,primary,calibration,20,3,descent,70638,1387,0.01963532376341346,0.386342093241334
static,primary,calibration,all,mixed,overall,386643,3866,0.009998887862964026,0.386342093241334
static,primary,calibration,all,mixed,climb,110162,69,0.000626350284127013,0.386342093241334
static,primary,calibration,all,mixed,cruise,147105,636,0.004323442439074131,0.386342093241334
static,primary,calibration,all,mixed,descent,129376,3161,0.024432661390056887,0.386342093241334
static,primary,official_test,11,3,overall,213306,2323,0.01089045783991074,0.386342093241334
static,primary,official_test,11,3,climb,53678,47,0.0008755914899959015,0.386342093241334
static,primary,official_test,11,3,cruise,86535,406,0.004691743225284567,0.386342093241334
static,primary,official_test,11,3,descent,73093,1870,0.02558384523825811,0.386342093241334
static,primary,official_test,14,1,overall,72268,1442,0.01995350639287098,0.386342093241334
static,primary,official_test,14,1,climb,12241,71,0.0058001797238787685,0.386342093241334
static,primary,official_test,14,1,cruise,33377,368,0.011025556520957545,0.386342093241334
static,primary,official_test,14,1,descent,26650,1003,0.0376360225140713,0.386342093241334
static,primary,official_test,15,2,overall,147539,1766,0.01196971648174381,0.386342093241334
static,primary,official_test,15,2,climb,48789,50,0.0010248211687060608,0.386342093241334
static,primary,official_test,15,2,cruise,53466,237,0.004432723600044888,0.386342093241334
static,primary,official_test,15,2,descent,45284,1479,0.032660542354915646,0.386342093241334
static,primary,official_test,all,mixed,overall,433113,5531,0.012770339380254113,0.386342093241334
static,primary,official_test,all,mixed,climb,114708,168,0.0014645883460613035,0.386342093241334
static,primary,official_test,all,mixed,cruise,173378,1011,0.0058311896549735264,0.386342093241334
static,primary,official_test,all,mixed,descent,145027,4352,0.03000820536865549,0.386342093241334
static,alt_rate,train,2,3,overall,188863,1578,0.00835526280954978,0.386342093241334
static,alt_rate,train,2,3,climb,62603,3,4.7921026148906605e-05,0.386342093241334
static,alt_rate,train,2,3,cruise,68374,179,0.002617954193114342,0.386342093241334
static,alt_rate,train,2,3,descent,57886,1396,0.02411636665169471,0.386342093241334
static,alt_rate,train,5,3,overall,188550,1556,0.008252452930257226,0.386342093241334
static,alt_rate,train,5,3,climb,53461,28,0.0005237462823366566,0.386342093241334
static,alt_rate,train,5,3,cruise,77061,40,0.0005190693087294481,0.386342093241334
static,alt_rate,train,5,3,descent,58028,1488,0.025642793134348935,0.386342093241334
static,alt_rate,train,10,3,overall,188050,1162,0.006179207657537889,0.386342093241334
static,alt_rate,train,10,3,climb,53315,5,9.378223764419019e-05,0.386342093241334
static,alt_rate,train,10,3,cruise,76877,110,0.0014308570833929523,0.386342093241334
static,alt_rate,train,10,3,descent,57858,1047,0.018096028206989526,0.386342093241334
static,alt_rate,train,16,3,overall,194619,1769,0.009089554462822232,0.386342093241334
static,alt_rate,train,16,3,climb,53813,8,0.00014866296248118485,0.386342093241334
static,alt_rate,train,16,3,cruise,79402,201,0.0025314223823077503,0.386342093241334
static,alt_rate,train,16,3,descent,61404,1560,0.02540551104162595,0.386342093241334
static,alt_rate,train,all,mixed,overall,760082,6065,0.007979402222391794,0.386342093241334
static,alt_rate,train,all,mixed,climb,223192,44,0.0001971396824258934,0.386342093241334
static,alt_rate,train,all,mixed,cruise,301714,530,0.001756630451354594,0.386342093241334
static,alt_rate,train,all,mixed,descent,235176,5491,0.02334847093240807,0.386342093241334
static,alt_rate,calibration,18,3,overall,193289,2063,0.01067313711592486,0.386342093241334
static,alt_rate,calibration,18,3,climb,59158,20,0.0003380776902532202,0.386342093241334
static,alt_rate,calibration,18,3,cruise,71383,95,0.0013308490817141336,0.386342093241334
static,alt_rate,calibration,18,3,descent,62748,1948,0.0310448141773443,0.386342093241334
static,alt_rate,calibration,20,3,overall,193354,1803,0.009324865273022538,0.386342093241334
static,alt_rate,calibration,20,3,climb,52201,49,0.000938679335644911,0.386342093241334
static,alt_rate,calibration,20,3,cruise,79401,131,0.0016498532764070981,0.386342093241334
static,alt_rate,calibration,20,3,descent,61752,1623,0.026282549553050913,0.386342093241334
static,alt_rate,calibration,all,mixed,overall,386643,3866,0.009998887862964026,0.386342093241334
static,alt_rate,calibration,all,mixed,climb,111359,69,0.0006196176330606417,0.386342093241334
static,alt_rate,calibration,all,mixed,cruise,150784,226,0.001498832767402377,0.386342093241334
static,alt_rate,calibration,all,mixed,descent,124500,3571,0.02868273092369478,0.386342093241334
static,alt_rate,official_test,11,3,overall,213306,2323,0.01089045783991074,0.386342093241334
static,alt_rate,official_test,11,3,climb,58507,70,0.0011964380330558735,0.386342093241334
static,alt_rate,official_test,11,3,cruise,83871,203,0.0024203836844678135,0.386342093241334
static,alt_rate,official_test,11,3,descent,70928,2050,0.028902549063839385,0.386342093241334
static,alt_rate,official_test,14,1,overall,72268,1442,0.01995350639287098,0.386342093241334
static,alt_rate,official_test,14,1,climb,13993,87,0.00621739441149146,0.386342093241334
static,alt_rate,official_test,14,1,cruise,30506,317,0.010391398413426867,0.386342093241334
static,alt_rate,official_test,14,1,descent,27769,1038,0.03737981202059851,0.386342093241334
static,alt_rate,official_test,15,2,overall,147539,1766,0.01196971648174381,0.386342093241334
static,alt_rate,official_test,15,2,climb,53843,50,0.0009286258195122857,0.386342093241334
static,alt_rate,official_test,15,2,cruise,43303,129,0.0029790083827910306,0.386342093241334
static,alt_rate,official_test,15,2,descent,50393,1587,0.0314924691921497,0.386342093241334
static,alt_rate,official_test,all,mixed,overall,433113,5531,0.012770339380254113,0.386342093241334
static,alt_rate,official_test,all,mixed,climb,126343,207,0.0016383970619662349,0.386342093241334
static,alt_rate,official_test,all,mixed,cruise,157680,649,0.0041159309994926434,0.386342093241334
static,alt_rate,official_test,all,mixed,descent,149090,4675,0.03135689851767389,0.386342093241334
static_derivative,primary,train,2,3,overall,188863,1937,0.010256111572939115,0.5077146601413203
static_derivative,primary,train,2,3,climb,57051,16,0.0002804508247007064,0.5077146601413203
static_derivative,primary,train,2,3,cruise,77394,499,0.0064475282321627,0.5077146601413203
static_derivative,primary,train,2,3,descent,54418,1422,0.02613105957587563,0.5077146601413203
static_derivative,primary,train,5,3,overall,188550,1711,0.009074516043489791,0.5077146601413203
static_derivative,primary,train,5,3,climb,49075,10,0.00020376974019358125,0.5077146601413203
static_derivative,primary,train,5,3,cruise,86669,135,0.0015576503709515512,0.5077146601413203
static_derivative,primary,train,5,3,descent,52806,1566,0.029655720940802183,0.5077146601413203
static_derivative,primary,train,10,3,overall,188050,1406,0.007476734910927945,0.5077146601413203
static_derivative,primary,train,10,3,climb,50427,0,0.0,0.5077146601413203
static_derivative,primary,train,10,3,cruise,83833,198,0.0023618384168525523,0.5077146601413203
static_derivative,primary,train,10,3,descent,53790,1208,0.022457705893288715,0.5077146601413203
static_derivative,primary,train,16,3,overall,194619,1808,0.009289945997050648,0.5077146601413203
static_derivative,primary,train,16,3,climb,52689,1,1.8979293590692555e-05,0.5077146601413203
static_derivative,primary,train,16,3,cruise,84042,334,0.003974203374503224,0.5077146601413203
static_derivative,primary,train,16,3,descent,57888,1473,0.02544568822553897,0.5077146601413203
static_derivative,primary,train,all,mixed,overall,760082,6862,0.009027973297617889,0.5077146601413203
static_derivative,primary,train,all,mixed,climb,209242,27,0.0001290371913860506,0.5077146601413203
