detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
static,primary,train,2,3,climb,57051,0.010347441653174708,0.006536274143595515,0.021372935918365005,0.03181064636936427,0.05245929466366679
static,primary,train,2,3,cruise,77394,0.03410511991840058,0.008458601460388057,0.04173834029300513,0.08010137349410654,0.24414130011970434
static,primary,train,2,3,descent,54418,0.1113341379003236,0.038781191255319314,0.1294352715953385,0.2372582592595283,0.517535407942742
static,primary,train,5,3,climb,49075,0.010228388723378076,0.005592544883030742,0.019057876493483877,0.03358347778126433,0.07692343837777696
static,primary,train,5,3,cruise,86669,0.02318649506169421,0.007664568705679771,0.0607699511568239,0.07724731935247271,0.11425821131419309
static,primary,train,5,3,descent,52806,0.09204483882893116,0.040846531919281295,0.12065699578436206,0.2579853522885202,0.5260133866005591
static,primary,train,10,3,climb,50427,0.011597281613187946,0.005962630657094093,0.023393664191083345,0.03671928179737439,0.11447693853587913
static,primary,train,10,3,cruise,83833,0.01833874279334894,0.005787507308693083,0.029972029899462852,0.057814601797716615,0.11862798712639165
static,primary,train,10,3,descent,53790,0.0945654347924213,0.04130680309323129,0.11606382618080843,0.19174832046223172,0.4747423595108624
static,primary,train,16,3,climb,52689,0.009894166083430628,0.005712588041462538,0.02101880864981991,0.03075587225825175,0.07362570714420219
static,primary,train,16,3,cruise,84042,0.029875872921576452,0.008253120289605276,0.05805379521413255,0.07622812720961766,0.21211488633671918
static,primary,train,16,3,descent,57888,0.21470159420175122,0.04303812348069553,0.13852289887422747,0.24579922321028597,0.5547540729521269
static,primary,train,all,mixed,climb,209242,0.010506590010768174,0.0059672144635346605,0.02134949416870368,0.03315714143737272,0.08556617817482465
static,primary,train,all,mixed,cruise,331938,0.026201585621822808,0.007397237795411566,0.05106812195851086,0.07376085037508312,0.16769087481897124
static,primary,train,all,mixed,descent,218902,0.12989566791575988,0.041000038417265836,0.12639032817183393,0.23171235934337545,0.5182708050553703
static,primary,calibration,18,3,climb,56332,0.011888783885124153,0.00620803336931464,0.020067755235639063,0.03240316740166216,0.13115227830451812
static,primary,calibration,18,3,cruise,78219,0.03272982372197823,0.008918194651058534,0.02972802164047641,0.06260825858217803,0.1454183260746107
static,primary,calibration,18,3,descent,58738,0.11337296988528056,0.04249352872746665,0.10651831173304908,0.21969472646341046,0.5229418545677417
static,primary,calibration,20,3,climb,53830,0.014194625967448376,0.008616195275227338,0.02779438918185012,0.04037705687674757,0.08644691932430784
static,primary,calibration,20,3,cruise,68886,0.06679558666204638,0.009851423824584534,0.053009146062023615,0.0850475003826277,0.23152154895981178
static,primary,calibration,20,3,descent,70638,0.2046918073425016,0.0475587528297807,0.13696767175812966,0.2033101178858131,0.5051550771725067
static,primary,calibration,all,mixed,climb,110162,0.0130155197767339,0.0075474823177967025,0.02421356349438469,0.03729640116626674,0.10614923135749237
static,primary,calibration,all,mixed,cruise,147105,0.048682062910921725,0.009180082240483264,0.03974935655711215,0.07485931380860515,0.1760154000031258
static,primary,calibration,all,mixed,descent,129376,0.1632321403674657,0.04471327069798946,0.12777735783989252,0.20872492753593558,0.5117928768792466
static,primary,official_test,11,3,climb,53678,0.01227640174322822,0.00789862024053841,0.020585001146348342,0.03015201027904262,0.08429542798904474
static,primary,official_test,11,3,cruise,86535,0.03636026242623843,0.008451184410082435,0.04395719274668044,0.0758693743245536,0.1917835295339275
static,primary,official_test,11,3,descent,73093,0.10411426626373889,0.04166105478805526,0.12406839843436115,0.24240237680313362,0.5318686106168643
static,primary,official_test,14,1,climb,12241,0.029561150893731087,0.016310598132885407,0.048204907376546834,0.07691088890002219,0.2908022323395865
static,primary,official_test,14,1,cruise,33377,0.048826095306294476,0.029926075391550514,0.07108846074802308,0.11156580182599535,0.4154973091433633
static,primary,official_test,14,1,descent,26650,0.0907884024867805,0.05153848580772829,0.20046194620187954,0.3420627959751588,0.5942063255742437
static,primary,official_test,15,2,climb,48789,0.016940990175047348,0.009520946645416943,0.033941667945208864,0.0439397011496615,0.1270495849108844
static,primary,official_test,15,2,cruise,53466,0.03714710186474504,0.017907864885968204,0.048884574475540676,0.06881957832853469,0.1935833623588523
static,primary,official_test,15,2,descent,45284,0.11295237496192345,0.047943352570531825,0.17893266480861023,0.300638892314942,0.5405744115347828
static,primary,official_test,all,mixed,climb,114708,0.016104933487756316,0.009042696761743362,0.030426043671082408,0.04314865207567059,0.12483215783947497
static,primary,official_test,all,mixed,cruise,173378,0.039002704151583203,0.014717242848532269,0.05569304938442292,0.07973232021756632,0.24750710944438392
static,primary,official_test,all,mixed,descent,145027,0.1044251783327512,0.04608916700364135,0.15308568409953163,0.28339929663135666,0.5435241278780901
static,alt_rate,train,2,3,climb,62603,0.009876754052851253,0.006200340815742093,0.020529182030193844,0.030434153753222438,0.051591281078530664
static,alt_rate,train,2,3,cruise,68374,0.02652736621131899,0.008551027823974985,0.03318203409579532,0.06084812958002212,0.16765015635679412
static,alt_rate,train,2,3,descent,57886,0.11844570517355497,0.0398871552095339,0.13843654483129814,0.25849008584293387,0.5624960828755626
static,alt_rate,train,5,3,climb,53461,0.009905408774274574,0.005533807402599845,0.01817039305860504,0.031656941784022126,0.07423484368439306
static,alt_rate,train,5,3,cruise,77061,0.018708269622563712,0.007261670550579634,0.05392640486090978,0.07353185896880306,0.10957975979235836
static,alt_rate,train,5,3,descent,58028,0.09307226257042149,0.0415798762968527,0.11719198917844259,0.2442644714005587,0.521980711160096
static,alt_rate,train,10,3,climb,53315,0.01138548333338799,0.005863032043435891,0.023152921861479655,0.036073801343013794,0.11163236027973074
static,alt_rate,train,10,3,cruise,76877,0.011789074539115442,0.005533700490253991,0.023150237505683034,0.03698522839577325,0.08714964185406276
static,alt_rate,train,10,3,descent,57858,0.0984402667690593,0.04224192810305035,0.11690760253085658,0.1914279858827327,0.47742298068707156
static,alt_rate,train,16,3,climb,53813,0.009579056612079117,0.005682945319918967,0.019056340354863248,0.028156711422387567,0.07145084483692996
static,alt_rate,train,16,3,cruise,79402,0.022424499665218818,0.007894379641233764,0.054755614844245404,0.06994681599240464,0.1267111360122812
static,alt_rate,train,16,3,descent,61404,0.21439580187141652,0.044155163092935705,0.14675401887406875,0.26066279190459735,0.5715745162030085
static,alt_rate,train,all,mixed,climb,223192,0.010172238744388393,0.005819537532586664,0.02038411760719958,0.03182303024801386,0.0823956752299055
static,alt_rate,train,all,mixed,cruise,301714,0.019695204426968548,0.0071723542590384935,0.04427003007147369,0.06461056099496752,0.1169221661561775
static,alt_rate,train,all,mixed,descent,235176,0.13231563643802732,0.04196224497333374,0.12923346718965234,0.2388517722930193,0.530226712834821
static,alt_rate,calibration,18,3,climb,59158,0.011611552713713448,0.006061572266653837,0.019467706563941155,0.03142358441758813,0.12911621703814666
