detector,phase_definition,unit,flight_class,calibration_phase,test_phase,threshold,n,false_alarms,false_alarm_rate
static,primary,11,3,climb,climb,0.10623506770865175,53678,318,0.005924214762099929
static,primary,11,3,climb,cruise,0.10623506770865175,86535,2184,0.025238342867048014
static,primary,11,3,climb,descent,0.10623506770865175,73093,9217,0.12609962650322193
static,primary,14,1,climb,climb,0.10623506770865175,12241,420,0.03431092231026877
static,primary,14,1,climb,cruise,0.10623506770865175,33377,1787,0.053539862779758515
static,primary,14,1,climb,descent,0.10623506770865175,26650,4237,0.15898686679174484
static,primary,15,2,climb,climb,0.10623506770865175,48789,660,0.013527639426920002
static,primary,15,2,climb,cruise,0.10623506770865175,53466,1164,0.021770845023005275
static,primary,15,2,climb,descent,0.10623506770865175,45284,7294,0.16107234343255897
static,primary,all,mixed,climb,climb,0.10623506770865175,114708,1398,0.012187467308295848
static,primary,all,mixed,climb,cruise,0.10623506770865175,173378,5135,0.029617367832135564
static,primary,all,mixed,climb,descent,0.10623506770865175,145027,20748,0.14306301585222062
static,primary,11,3,cruise,climb,0.17601550332537705,53678,161,0.0029993665933902157
static,primary,11,3,cruise,cruise,0.17601550332537705,86535,940,0.010862656728491361
static,primary,11,3,cruise,descent,0.17601550332537705,73093,5094,0.06969203617309455
static,primary,14,1,cruise,climb,0.17601550332537705,12241,350,0.028592435258557307
static,primary,14,1,cruise,cruise,0.17601550332537705,33377,1040,0.031159181472271324
static,primary,14,1,cruise,descent,0.17601550332537705,26650,3068,0.1151219512195122
static,primary,15,2,cruise,climb,0.17601550332537705,48789,227,0.004652688105925516
static,primary,15,2,cruise,cruise,0.17601550332537705,53466,595,0.011128567687876408
static,primary,15,2,cruise,descent,0.17601550332537705,45284,4585,0.10124988958572564
static,primary,all,mixed,cruise,climb,0.17601550332537705,114708,738,0.006433727377340726
static,primary,all,mixed,cruise,cruise,0.17601550332537705,173378,2575,0.014851941999561651
static,primary,all,mixed,cruise,descent,0.17601550332537705,145027,12747,0.08789397836264971
static,primary,11,3,descent,climb,0.5118053189466293,53678,12,0.00022355527404150676
static,primary,11,3,descent,cruise,0.5118053189466293,86535,286,0.0033050210897324784
static,primary,11,3,descent,descent,0.5118053189466293,73093,807,0.01104072893437128
static,primary,14,1,descent,climb,0.5118053189466293,12241,37,0.003022628870190344
static,primary,14,1,descent,cruise,0.5118053189466293,33377,275,0.008239206639302514
static,primary,14,1,descent,descent,0.5118053189466293,26650,397,0.014896810506566605
static,primary,15,2,descent,climb,0.5118053189466293,48789,38,0.0007788640882166062
static,primary,15,2,descent,cruise,0.5118053189466293,53466,168,0.003142183817753339
