subset,unit,flight_class,phase,n,false_alarms,false_alarm_rate,threshold
validation,18,3,climb,56332,0,0.0,0.0007468840663910171
validation,18,3,cruise,78219,67,0.0008565693757271251,0.0007468840663910171
validation,18,3,descent,58738,1096,0.018659130375566074,0.0007468840663910171
validation,20,3,climb,53830,0,0.0,0.0007468840663910171
validation,20,3,cruise,68886,1589,0.023067096362105508,0.0007468840663910171
validation,20,3,descent,70638,1114,0.015770548430023502,0.0007468840663910171
validation,all,3,climb,110162,0,0.0,0.0007468840663910171
validation,all,3,cruise,147105,1656,0.011257265218721321,0.0007468840663910171
validation,all,3,descent,129376,2210,0.017081993569131832,0.0007468840663910171
test,11,3,climb,53678,2,3.7259212340251126e-05,0.0007468840663910171
test,11,3,cruise,86535,147,0.0016987346160513086,0.0007468840663910171
test,11,3,descent,73093,2742,0.03751385221567045,0.0007468840663910171
test,14,1,climb,12241,1,8.169267216730659e-05,0.0007468840663910171
test,14,1,cruise,33377,822,0.024627737663660606,0.0007468840663910171
test,14,1,descent,26650,621,0.02330206378986867,0.0007468840663910171
test,15,2,climb,48789,1,2.0496423374121217e-05,0.0007468840663910171
test,15,2,cruise,53466,72,0.0013466502076085736,0.0007468840663910171
test,15,2,descent,45284,379,0.00836940199629008,0.0007468840663910171
test,all,mixed,climb,114708,4,3.48711510966977e-05,0.0007468840663910171
test,all,mixed,cruise,173378,1041,0.006004221988949001,0.0007468840663910171
test,all,mixed,descent,145027,3742,0.025802092024243762,0.0007468840663910171
