unit,cycle,flight_class,phase,n,false_alarms,false_alarm_rate
11,1,3,climb,2506,0,0.0
11,1,3,cruise,4386,19,0.004331965344277246
11,1,3,descent,4115,155,0.03766707168894289
11,2,3,climb,3612,0,0.0
11,2,3,cruise,10521,12,0.0011405759908753922
11,2,3,descent,3503,12,0.0034256351698544107
11,3,3,climb,2031,1,0.0004923682914820286
11,3,3,cruise,3448,26,0.0075406032482598605
11,3,3,descent,4352,940,0.21599264705882354
11,4,3,climb,2902,0,0.0
11,4,3,cruise,7069,0,0.0
11,4,3,descent,3169,19,0.005995582202587567
11,5,3,climb,2138,0,0.0
11,5,3,cruise,6376,4,0.0006273525721455458
11,5,3,descent,5237,90,0.0171854114951308
11,6,3,climb,2583,0,0.0
11,6,3,cruise,5477,31,0.005660032864706956
11,6,3,descent,3629,65,0.017911270322402865
11,7,3,climb,2506,0,0.0
11,7,3,cruise,4386,19,0.004331965344277246
11,7,3,descent,4115,108,0.026245443499392465
11,8,3,climb,4368,0,0.0
11,8,3,cruise,2947,6,0.0020359687818120122
11,8,3,descent,1511,9,0.005956320317670417
11,9,3,climb,2151,0,0.0
11,9,3,cruise,4055,1,0.0002466091245376079
11,9,3,descent,2722,2,0.0007347538574577516
11,10,3,climb,3800,0,0.0
11,10,3,cruise,6079,1,0.00016450074025333114
11,10,3,descent,4061,1,0.0002462447672986949
11,11,3,climb,2138,0,0.0
11,11,3,cruise,6376,1,0.00015683814303638644
11,11,3,descent,5237,79,0.015084972312392591
11,12,3,climb,3405,1,0.0002936857562408223
11,12,3,cruise,2752,9,0.0032703488372093025
11,12,3,descent,8189,10,0.0012211503236048357
11,13,3,climb,2712,0,0.0
11,13,3,cruise,4440,15,0.0033783783783783786
11,13,3,descent,3552,385,0.10838963963963964
11,14,3,climb,3378,0,0.0
11,14,3,cruise,2869,1,0.0003485535029627048
11,14,3,descent,5326,21,0.003942921517085993
11,15,3,climb,2139,0,0.0
11,15,3,cruise,1849,0,0.0
11,15,3,descent,3713,772,0.20791812550498248
11,16,3,climb,3291,0,0.0
11,16,3,cruise,5172,1,0.00019334880123743234
11,16,3,descent,2994,46,0.015364061456245824
11,17,3,climb,3291,0,0.0
11,17,3,cruise,5172,0,0.0
11,17,3,descent,2994,18,0.006012024048096192
11,18,3,climb,4727,0,0.0
11,18,3,cruise,3161,1,0.00031635558367605187
11,18,3,descent,4674,10,0.002139495079161318
14,1,1,climb,79,0,0.0
14,1,1,cruise,2364,0,0.0
14,1,1,descent,108,1,0.009259259259259259
14,2,1,climb,435,0,0.0
14,2,1,cruise,592,0,0.0
14,2,1,descent,501,34,0.06786427145708583
14,3,1,climb,227,0,0.0
14,3,1,cruise,1396,225,0.16117478510028654
14,3,1,descent,264,259,0.9810606060606061
14,4,1,climb,87,0,0.0
14,4,1,cruise,1069,0,0.0
14,4,1,descent,147,0,0.0
14,5,1,climb,1059,0,0.0
14,5,1,cruise,390,0,0.0
14,5,1,descent,1192,0,0.0
14,6,1,climb,222,0,0.0
14,6,1,cruise,1468,0,0.0
14,6,1,descent,1228,1,0.0008143322475570033
14,7,1,climb,87,0,0.0
14,7,1,cruise,1069,0,0.0
14,7,1,descent,147,0,0.0
14,8,1,climb,79,0,0.0
14,8,1,cruise,2364,0,0.0
14,8,1,descent,108,1,0.009259259259259259
14,9,1,climb,38,0,0.0
14,9,1,cruise,47,0,0.0
14,9,1,descent,1621,0,0.0
14,10,1,climb,38,0,0.0
14,10,1,cruise,47,0,0.0
14,10,1,descent,1621,0,0.0
14,11,1,climb,482,0,0.0
14,11,1,cruise,1040,0,0.0
14,11,1,descent,824,0,0.0
14,12,1,climb,1059,0,0.0
14,12,1,cruise,390,0,0.0
14,12,1,descent,1192,0,0.0
14,13,1,climb,87,0,0.0
14,13,1,cruise,1069,1,0.0009354536950420954
14,13,1,descent,147,0,0.0
14,14,1,climb,490,0,0.0
