detector,phase_definition,subset,unit,cycle,flight_class,phase,rows,false_alarms,any_false_alarm,false_alarm_events
raw_pca,primary,official_test,11,1,3,overall,11007,174,1,41
raw_pca,primary,official_test,11,1,3,climb,2506,0,0,0
raw_pca,primary,official_test,11,1,3,cruise,4386,19,1,17
raw_pca,primary,official_test,11,1,3,descent,4115,155,1,24
raw_pca,primary,official_test,11,2,3,overall,17636,24,1,20
raw_pca,primary,official_test,11,2,3,climb,3612,0,0,0
raw_pca,primary,official_test,11,2,3,cruise,10521,12,1,9
raw_pca,primary,official_test,11,2,3,descent,3503,12,1,11
raw_pca,primary,official_test,11,3,3,overall,9831,967,1,88
raw_pca,primary,official_test,11,3,3,climb,2031,1,1,1
raw_pca,primary,official_test,11,3,3,cruise,3448,26,1,20
raw_pca,primary,official_test,11,3,3,descent,4352,940,1,67
raw_pca,primary,official_test,11,4,3,overall,13140,19,1,18
raw_pca,primary,official_test,11,4,3,climb,2902,0,0,0
raw_pca,primary,official_test,11,4,3,cruise,7069,0,0,0
raw_pca,primary,official_test,11,4,3,descent,3169,19,1,18
raw_pca,primary,official_test,11,5,3,overall,13751,94,1,41
raw_pca,primary,official_test,11,5,3,climb,2138,0,0,0
raw_pca,primary,official_test,11,5,3,cruise,6376,4,1,3
raw_pca,primary,official_test,11,5,3,descent,5237,90,1,38
raw_pca,primary,official_test,11,6,3,overall,11689,96,1,66
raw_pca,primary,official_test,11,6,3,climb,2583,0,0,0
raw_pca,primary,official_test,11,6,3,cruise,5477,31,1,27
raw_pca,primary,official_test,11,6,3,descent,3629,65,1,39
raw_pca,primary,official_test,11,7,3,overall,11007,127,1,30
raw_pca,primary,official_test,11,7,3,climb,2506,0,0,0
raw_pca,primary,official_test,11,7,3,cruise,4386,19,1,17
raw_pca,primary,official_test,11,7,3,descent,4115,108,1,13
raw_pca,primary,official_test,11,8,3,overall,8826,15,1,11
raw_pca,primary,official_test,11,8,3,climb,4368,0,0,0
raw_pca,primary,official_test,11,8,3,cruise,2947,6,1,2
raw_pca,primary,official_test,11,8,3,descent,1511,9,1,9
raw_pca,primary,official_test,11,9,3,overall,8928,3,1,3
raw_pca,primary,official_test,11,9,3,climb,2151,0,0,0
raw_pca,primary,official_test,11,9,3,cruise,4055,1,1,1
raw_pca,primary,official_test,11,9,3,descent,2722,2,1,2
raw_pca,primary,official_test,11,10,3,overall,13940,2,1,2
raw_pca,primary,official_test,11,10,3,climb,3800,0,0,0
raw_pca,primary,official_test,11,10,3,cruise,6079,1,1,1
raw_pca,primary,official_test,11,10,3,descent,4061,1,1,1
raw_pca,primary,official_test,11,11,3,overall,13751,80,1,35
raw_pca,primary,official_test,11,11,3,climb,2138,0,0,0
raw_pca,primary,official_test,11,11,3,cruise,6376,1,1,1
raw_pca,primary,official_test,11,11,3,descent,5237,79,1,34
raw_pca,primary,official_test,11,12,3,overall,14346,20,1,19
raw_pca,primary,official_test,11,12,3,climb,3405,1,1,1
raw_pca,primary,official_test,11,12,3,cruise,2752,9,1,9
raw_pca,primary,official_test,11,12,3,descent,8189,10,1,9
raw_pca,primary,official_test,11,13,3,overall,10704,400,1,30
raw_pca,primary,official_test,11,13,3,climb,2712,0,0,0
raw_pca,primary,official_test,11,13,3,cruise,4440,15,1,11
raw_pca,primary,official_test,11,13,3,descent,3552,385,1,19
raw_pca,primary,official_test,11,14,3,overall,11573,22,1,22
raw_pca,primary,official_test,11,14,3,climb,3378,0,0,0
raw_pca,primary,official_test,11,14,3,cruise,2869,1,1,1
raw_pca,primary,official_test,11,14,3,descent,5326,21,1,21
raw_pca,primary,official_test,11,15,3,overall,7701,772,1,66
raw_pca,primary,official_test,11,15,3,climb,2139,0,0,0
raw_pca,primary,official_test,11,15,3,cruise,1849,0,0,0
raw_pca,primary,official_test,11,15,3,descent,3713,772,1,66
raw_pca,primary,official_test,11,16,3,overall,11457,47,1,21
raw_pca,primary,official_test,11,16,3,climb,3291,0,0,0
raw_pca,primary,official_test,11,16,3,cruise,5172,1,1,1
raw_pca,primary,official_test,11,16,3,descent,2994,46,1,20
raw_pca,primary,official_test,11,17,3,overall,11457,18,1,14
raw_pca,primary,official_test,11,17,3,climb,3291,0,0,0
raw_pca,primary,official_test,11,17,3,cruise,5172,0,0,0
raw_pca,primary,official_test,11,17,3,descent,2994,18,1,14
raw_pca,primary,official_test,11,18,3,overall,12562,11,1,9
raw_pca,primary,official_test,11,18,3,climb,4727,0,0,0
raw_pca,primary,official_test,11,18,3,cruise,3161,1,1,1
raw_pca,primary,official_test,11,18,3,descent,4674,10,1,8
raw_pca,primary,official_test,14,1,1,overall,2551,1,1,1
raw_pca,primary,official_test,14,1,1,climb,79,0,0,0
