detector,phase_definition,subset,unit,flight_class,phase,healthy_flights,flights_with_false_alarm,fraction_flights_with_false_alarm,false_alarm_events,events_per_healthy_flight
raw_pca,primary,official_test,11,3,climb,18,2,0.1111111111111111,2,0.1111111111111111
raw_pca,primary,official_test,11,3,cruise,18,15,0.8333333333333334,121,6.722222222222222
raw_pca,primary,official_test,11,3,descent,18,18,1.0,413,22.944444444444443
raw_pca,primary,official_test,11,3,overall,18,18,1.0,536,29.77777777777778
raw_pca,primary,official_test,14,1,climb,35,1,0.02857142857142857,1,0.02857142857142857
raw_pca,primary,official_test,14,1,cruise,35,5,0.14285714285714285,67,1.9142857142857144
raw_pca,primary,official_test,14,1,descent,35,19,0.5428571428571428,141,4.0285714285714285
raw_pca,primary,official_test,14,1,overall,35,20,0.5714285714285714,208,5.942857142857143
raw_pca,primary,official_test,15,2,climb,23,1,0.043478260869565216,1,0.043478260869565216
raw_pca,primary,official_test,15,2,cruise,23,6,0.2608695652173913,70,3.0434782608695654
raw_pca,primary,official_test,15,2,descent,23,15,0.6521739130434783,120,5.217391304347826
raw_pca,primary,official_test,15,2,overall,23,17,0.7391304347826086,191,8.304347826086957
raw_pca,primary,official_test,all,mixed,climb,76,4,0.05263157894736842,4,0.05263157894736842
raw_pca,primary,official_test,all,mixed,cruise,76,26,0.34210526315789475,258,3.3947368421052633
raw_pca,primary,official_test,all,mixed,descent,76,52,0.6842105263157895,674,8.868421052631579
raw_pca,primary,official_test,all,mixed,overall,76,55,0.7236842105263158,935,12.302631578947368
raw_pca,alt_rate,official_test,11,3,climb,18,2,0.1111111111111111,11,0.6111111111111112
raw_pca,alt_rate,official_test,11,3,cruise,18,11,0.6111111111111112,78,4.333333333333333
raw_pca,alt_rate,official_test,11,3,descent,18,18,1.0,447,24.833333333333332
raw_pca,alt_rate,official_test,11,3,overall,18,18,1.0,536,29.77777777777778
raw_pca,alt_rate,official_test,14,1,climb,35,1,0.02857142857142857,1,0.02857142857142857
raw_pca,alt_rate,official_test,14,1,cruise,35,5,0.14285714285714285,56,1.6
raw_pca,alt_rate,official_test,14,1,descent,35,19,0.5428571428571428,155,4.428571428571429
raw_pca,alt_rate,official_test,14,1,overall,35,20,0.5714285714285714,208,5.942857142857143
raw_pca,alt_rate,official_test,15,2,climb,23,1,0.043478260869565216,1,0.043478260869565216
raw_pca,alt_rate,official_test,15,2,cruise,23,4,0.17391304347826086,54,2.347826086956522
raw_pca,alt_rate,official_test,15,2,descent,23,17,0.7391304347826086,136,5.913043478260869
raw_pca,alt_rate,official_test,15,2,overall,23,17,0.7391304347826086,191,8.304347826086957
raw_pca,alt_rate,official_test,all,mixed,climb,76,4,0.05263157894736842,13,0.17105263157894737
raw_pca,alt_rate,official_test,all,mixed,cruise,76,20,0.2631578947368421,188,2.473684210526316
raw_pca,alt_rate,official_test,all,mixed,descent,76,54,0.7105263157894737,738,9.710526315789474
raw_pca,alt_rate,official_test,all,mixed,overall,76,55,0.7236842105263158,935,12.302631578947368
condition_corrected_pca,primary,official_test,11,3,climb,18,5,0.2777777777777778,18,1.0
condition_corrected_pca,primary,official_test,11,3,cruise,18,16,0.8888888888888888,123,6.833333333333333
condition_corrected_pca,primary,official_test,11,3,descent,18,18,1.0,665,36.94444444444444
condition_corrected_pca,primary,official_test,11,3,overall,18,18,1.0,806,44.77777777777778
condition_corrected_pca,primary,official_test,14,1,climb,35,9,0.2571428571428571,16,0.45714285714285713
condition_corrected_pca,primary,official_test,14,1,cruise,35,25,0.7142857142857143,175,5.0
condition_corrected_pca,primary,official_test,14,1,descent,35,34,0.9714285714285714,240,6.857142857142857
condition_corrected_pca,primary,official_test,14,1,overall,35,35,1.0,424,12.114285714285714
