audit_unit,flight_class,calibration_units,training_units,detector,overall_fpr,climb_fpr,cruise_fpr,descent_fpr,max_min_phase_fpr_ratio,worst_offdiagonal_transfer_fpr,score_only_phase_balanced_accuracy,fraction_flights_with_false_alarm,events_per_healthy_flight
2,3,5,"10,16,18,20",raw_pca,0.03128193452396711,1.752817654379415e-05,0.03241853373646536,0.062442574148259766,3562.411297732368,0.27845565805432027,0.4948448378794669,1.0,46.0
2,3,5,"10,16,18,20",condition_corrected_pca,0.011097991665916565,5.258452963138245e-05,0.008036798718246892,0.027031496931162483,514.0579771399169,0.30701238560770333,0.5112165485502734,1.0,43.625
5,3,10,"2,16,18,20",raw_pca,0.008061522142667728,0.0,0.00041537343225374703,0.028102867098435784,inf,0.1938605461500587,0.5721224720480439,1.0,20.0625
5,3,10,"2,16,18,20",condition_corrected_pca,0.012315035799522672,0.0007743250127356088,0.001580726672743426,0.04065825853122751,52.508000984736576,0.12581903571563838,0.4847641752220419,1.0,33.375
10,3,16,"2,5,18,20",raw_pca,0.004764690241956926,0.0,0.0004771390741116267,0.015913738613125117,inf,0.1293920803123257,0.46484736117481945,0.875,12.0625
10,3,16,"2,5,18,20",condition_corrected_pca,0.006439776655144908,3.966129256152458e-05,0.0025526940464972027,0.018497862056144263,466.3958449525934,0.14569622606432422,0.535528304214339,1.0,28.0625
16,3,18,"2,5,10,20",raw_pca,0.030115250823403675,0.0,0.024761428809404823,0.06529850746268656,inf,0.2146558872305141,0.47200076150934395,0.9333333333333333,45.53333333333333
16,3,18,"2,5,10,20",condition_corrected_pca,0.009695867309974874,5.693788077207766e-05,0.004878513124390186,0.02546296296296296,447.20601851851853,0.13843974571586512,0.5168253429978371,1.0,37.06666666666667
18,3,20,"2,5,10,16",raw_pca,0.004775232941346895,0.0,0.0007287232002454647,0.014743436957335966,inf,0.13532976948483094,0.5102724550056642,1.0,12.0
18,3,20,"2,5,10,16",condition_corrected_pca,0.01124740673292324,0.0004970531846907619,0.003630831383679157,0.031700091933671556,63.776056385985214,0.13451258129320032,0.521390485989177,1.0,31.3125
20,3,2,"5,10,16,18",raw_pca,0.00951105226682665,0.0,0.020497633771738816,0.006044905008635579,inf,0.10277754183300773,0.4765230490152487,0.875,25.3125
20,3,2,"5,10,16,18",condition_corrected_pca,0.010762642614065393,0.001003158090284228,0.007795488197892169,0.021093462442311504,21.027057097585708,0.35529035363402134,0.49034055160264295,1.0,38.875
11,3,"18,20","2,5,10,16",raw_pca,0.01355329901643648,3.7259212340251126e-05,0.0016987346160513086,0.03751385221567045,1006.8342796163791,0.20088106932264377,0.43305842759837043,1.0,29.77777777777778
11,3,"18,20","2,5,10,16",condition_corrected_pca,0.01089045783991074,0.0008755914899959015,0.004691743225284567,0.02558384523825811,29.218928610621674,0.12609962650322193,0.5138080951783811,1.0,44.77777777777778
