detector,phase_definition,flight_class,phase,healthy_flights,flights_with_false_alarm,false_alarm_events,fraction_flights_with_false_alarm,events_per_healthy_flight
condition_corrected_pca,alt_rate,1,climb,35,11,22,0.3142857142857143,0.6285714285714286
condition_corrected_pca,alt_rate,1,cruise,35,25,155,0.7142857142857143,4.428571428571429
condition_corrected_pca,alt_rate,1,descent,35,34,247,0.9714285714285714,7.057142857142857
condition_corrected_pca,alt_rate,1,overall,35,35,424,1.0,12.114285714285714
condition_corrected_pca,alt_rate,2,climb,23,3,16,0.13043478260869565,0.6956521739130435
condition_corrected_pca,alt_rate,2,cruise,23,5,34,0.21739130434782608,1.4782608695652173
condition_corrected_pca,alt_rate,2,descent,23,23,430,1.0,18.695652173913043
condition_corrected_pca,alt_rate,2,overall,23,23,480,1.0,20.869565217391305
condition_corrected_pca,alt_rate,3,climb,18,5,23,0.2777777777777778,1.2777777777777777
condition_corrected_pca,alt_rate,3,cruise,18,13,93,0.7222222222222222,5.166666666666667
condition_corrected_pca,alt_rate,3,descent,18,18,690,1.0,38.333333333333336
condition_corrected_pca,alt_rate,3,overall,18,18,806,1.0,44.77777777777778
condition_corrected_pca,primary,1,climb,35,9,16,0.2571428571428571,0.45714285714285713
condition_corrected_pca,primary,1,cruise,35,25,175,0.7142857142857143,5.0
condition_corrected_pca,primary,1,descent,35,34,240,0.9714285714285714,6.857142857142857
condition_corrected_pca,primary,1,overall,35,35,424,1.0,12.114285714285714
condition_corrected_pca,primary,2,climb,23,3,16,0.13043478260869565,0.6956521739130435
condition_corrected_pca,primary,2,cruise,23,9,95,0.391304347826087,4.130434782608695
condition_corrected_pca,primary,2,descent,23,23,369,1.0,16.043478260869566
condition_corrected_pca,primary,2,overall,23,23,480,1.0,20.869565217391305
condition_corrected_pca,primary,3,climb,18,5,18,0.2777777777777778,1.0
condition_corrected_pca,primary,3,cruise,18,16,123,0.8888888888888888,6.833333333333333
condition_corrected_pca,primary,3,descent,18,18,665,1.0,36.94444444444444
condition_corrected_pca,primary,3,overall,18,18,806,1.0,44.77777777777778
raw_pca,alt_rate,1,climb,35,1,1,0.02857142857142857,0.02857142857142857
raw_pca,alt_rate,1,cruise,35,5,56,0.14285714285714285,1.6
raw_pca,alt_rate,1,descent,35,19,155,0.5428571428571428,4.428571428571429
raw_pca,alt_rate,1,overall,35,20,208,0.5714285714285714,5.942857142857143
raw_pca,alt_rate,2,climb,23,1,1,0.043478260869565216,0.043478260869565216
raw_pca,alt_rate,2,cruise,23,4,54,0.17391304347826086,2.347826086956522
raw_pca,alt_rate,2,descent,23,17,136,0.7391304347826086,5.913043478260869
raw_pca,alt_rate,2,overall,23,17,191,0.7391304347826086,8.304347826086957
raw_pca,alt_rate,3,climb,18,2,11,0.1111111111111111,0.6111111111111112
raw_pca,alt_rate,3,cruise,18,11,78,0.6111111111111112,4.333333333333333
raw_pca,alt_rate,3,descent,18,18,447,1.0,24.833333333333332
raw_pca,alt_rate,3,overall,18,18,536,1.0,29.77777777777778
raw_pca,primary,1,climb,35,1,1,0.02857142857142857,0.02857142857142857
raw_pca,primary,1,cruise,35,5,67,0.14285714285714285,1.9142857142857144
raw_pca,primary,1,descent,35,19,141,0.5428571428571428,4.0285714285714285
raw_pca,primary,1,overall,35,20,208,0.5714285714285714,5.942857142857143
raw_pca,primary,2,climb,23,1,1,0.043478260869565216,0.043478260869565216
raw_pca,primary,2,cruise,23,6,70,0.2608695652173913,3.0434782608695654
raw_pca,primary,2,descent,23,15,120,0.6521739130434783,5.217391304347826
raw_pca,primary,2,overall,23,17,191,0.7391304347826086,8.304347826086957
raw_pca,primary,3,climb,18,2,2,0.1111111111111111,0.1111111111111111
raw_pca,primary,3,cruise,18,15,121,0.8333333333333334,6.722222222222222
raw_pca,primary,3,descent,18,18,413,1.0,22.944444444444443
raw_pca,primary,3,overall,18,18,536,1.0,29.77777777777778
