detector,phase_definition,flight_class,phase,n,false_alarms,false_alarm_rate
condition_corrected_pca,alt_rate,1,climb,13993,87,0.00621739441149146
condition_corrected_pca,alt_rate,1,cruise,30506,317,0.010391398413426867
condition_corrected_pca,alt_rate,1,descent,27769,1038,0.03737981202059851
condition_corrected_pca,alt_rate,1,overall,72268,1442,0.01995350639287098
condition_corrected_pca,alt_rate,2,climb,53843,50,0.0009286258195122857
condition_corrected_pca,alt_rate,2,cruise,43303,129,0.0029790083827910306
condition_corrected_pca,alt_rate,2,descent,50393,1587,0.0314924691921497
condition_corrected_pca,alt_rate,2,overall,147539,1766,0.01196971648174381
condition_corrected_pca,alt_rate,3,climb,58507,70,0.0011964380330558735
condition_corrected_pca,alt_rate,3,cruise,83871,203,0.0024203836844678135
condition_corrected_pca,alt_rate,3,descent,70928,2050,0.028902549063839385
condition_corrected_pca,alt_rate,3,overall,213306,2323,0.01089045783991074
condition_corrected_pca,primary,1,climb,12241,71,0.0058001797238787685
condition_corrected_pca,primary,1,cruise,33377,368,0.011025556520957545
condition_corrected_pca,primary,1,descent,26650,1003,0.0376360225140713
condition_corrected_pca,primary,1,overall,72268,1442,0.01995350639287098
condition_corrected_pca,primary,2,climb,48789,50,0.0010248211687060608
condition_corrected_pca,primary,2,cruise,53466,237,0.004432723600044888
condition_corrected_pca,primary,2,descent,45284,1479,0.032660542354915646
condition_corrected_pca,primary,2,overall,147539,1766,0.01196971648174381
condition_corrected_pca,primary,3,climb,53678,47,0.0008755914899959015
condition_corrected_pca,primary,3,cruise,86535,406,0.004691743225284567
condition_corrected_pca,primary,3,descent,73093,1870,0.02558384523825811
condition_corrected_pca,primary,3,overall,213306,2323,0.01089045783991074
raw_pca,alt_rate,1,climb,13993,1,7.14643035803616e-05
raw_pca,alt_rate,1,cruise,30506,693,0.022716842588343278
raw_pca,alt_rate,1,descent,27769,750,0.02700853469696424
raw_pca,alt_rate,1,overall,72268,1444,0.019981181159019205
raw_pca,alt_rate,2,climb,53843,1,1.8572516390245713e-05
raw_pca,alt_rate,2,cruise,43303,56,0.0012932129413666489
raw_pca,alt_rate,2,descent,50393,395,0.00783839025261445
raw_pca,alt_rate,2,overall,147539,452,0.0030635967439117794
raw_pca,alt_rate,3,climb,58507,11,0.00018801169090878014
raw_pca,alt_rate,3,cruise,83871,100,0.001192307233727987
raw_pca,alt_rate,3,descent,70928,2780,0.039194676291450486
raw_pca,alt_rate,3,overall,213306,2891,0.01355329901643648
raw_pca,primary,1,climb,12241,1,8.169267216730659e-05
raw_pca,primary,1,cruise,33377,822,0.024627737663660606
raw_pca,primary,1,descent,26650,621,0.02330206378986867
raw_pca,primary,1,overall,72268,1444,0.019981181159019205
raw_pca,primary,2,climb,48789,1,2.0496423374121217e-05
raw_pca,primary,2,cruise,53466,72,0.0013466502076085736
raw_pca,primary,2,descent,45284,379,0.00836940199629008
raw_pca,primary,2,overall,147539,452,0.0030635967439117794
raw_pca,primary,3,climb,53678,2,3.7259212340251126e-05
raw_pca,primary,3,cruise,86535,147,0.0016987346160513086
raw_pca,primary,3,descent,73093,2742,0.03751385221567045
raw_pca,primary,3,overall,213306,2891,0.01355329901643648
