split,unit,cycle,rows,alt_min,alt_max,primary_climb_rows,primary_cruise_rows,primary_descent_rows,alternative_climb_rows,alternative_cruise_rows,alternative_descent_rows
dev,2,1,11764,10005.0,31021.0,3836,4826,3102,4454,3704,3606
dev,2,2,10501,10001.0,25036.0,3009,5528,1964,3261,5198,2042
dev,2,3,11093,10006.0,35033.0,6050,3132,1911,6380,2398,2315
dev,2,4,10723,10001.0,28027.0,2856,5859,2008,3230,5250,2243
dev,2,5,11457,10002.0,27017.0,3291,5172,2994,3793,4388,3276
dev,2,6,8535,10001.0,22007.0,1717,3407,3411,1991,2933,3611
dev,2,7,11921,10004.0,31028.0,5222,2178,4521,5956,1097,4868
dev,2,8,14929,10004.0,33035.0,4044,5466,5419,4411,5050,5468
dev,2,9,11007,10006.0,25016.0,2506,4386,4115,2930,3885,4192
dev,2,10,13237,10003.0,29017.0,5234,4129,3874,4285,4767,4185
dev,2,11,9571,10001.0,28033.0,4154,3260,2157,4482,3223,1866
dev,2,12,12874,10002.0,28022.0,3450,4660,4764,3895,3918,5061
dev,2,13,9831,10002.0,22010.0,2031,3448,4352,2327,2755,4749
dev,2,14,15884,10001.0,28021.0,3302,9592,2990,3810,8790,3284
dev,2,15,14529,10001.0,29020.0,3843,7965,2721,4468,7133,2928
dev,2,16,11007,10006.0,25016.0,2506,4386,4115,2930,3885,4192
dev,2,17,11093,10006.0,35033.0,6050,3132,1911,6380,2398,2315
dev,2,18,5500,10001.0,20031.0,1264,1888,2348,1485,1497,2518
dev,2,19,14256,10002.0,28024.0,2988,7325,3943,3378,6615,4263
dev,2,20,12213,10001.0,25031.0,2741,5327,4145,2883,4880,4450
dev,2,21,7694,10003.0,28021.0,3487,1572,2635,3958,949,2787
dev,2,22,11325,10003.0,31052.0,4102,3601,3622,3734,3479,4112
dev,2,23,13140,10004.0,27018.0,2902,7069,3169,3297,6273,3570
dev,2,24,10171,10004.0,18030.0,739,4918,4514,850,4678,4643
dev,2,25,8483,10004.0,23021.0,2634,3454,2395,2984,2886,2613
dev,2,26,11764,10005.0,31021.0,3836,4826,3102,4454,3704,3606
dev,2,27,13395,10001.0,29015.0,4412,6278,2705,5053,5415,2927
dev,2,28,10822,10003.0,29025.0,3537,3108,4177,4073,2239,4510
dev,2,29,8535,10001.0,22007.0,1717,3407,3411,1991,2933,3611
dev,2,30,13073,10008.0,31027.0,4384,3774,4915,4736,3075,5262
dev,2,31,9606,10004.0,16179.0,844,6898,1864,944,6600,2062
dev,2,32,7826,10004.0,28023.0,3319,2005,2502,3848,1210,2768
dev,2,33,14262,10004.0,27048.0,5278,5961,3023,3590,7252,3420
dev,2,34,12093,10002.0,29035.0,4566,4098,3429,4297,3919,3877
dev,2,35,8535,10001.0,22007.0,1717,3407,3411,1991,2933,3611
dev,2,36,13574,10002.0,28017.0,3316,6681,3577,3858,6003,3713
dev,2,37,8623,10001.0,26016.0,3137,3097,2389,3605,3324,1694
dev,2,38,9171,10002.0,22013.0,1955,4254,2962,2227,3820,3124
dev,2,39,8826,10003.0,28013.0,4368,2947,1511,4070,3030,1726
dev,2,40,15195,10002.0,31015.0,4381,5296,5518,3720,5489,5986
dev,2,41,8128,10003.0,20009.0,1333,5226,1569,1505,4816,1807
dev,2,42,9717,10001.0,31017.0,3628,3641,2448,4210,2673,2834
dev,2,43,11007,10006.0,25016.0,2506,4386,4115,2930,3885,4192
dev,2,44,8826,10003.0,28013.0,4368,2947,1511,4070,3030,1726
dev,2,45,18169,10004.0,29022.0,4699,10468,3002,4460,10460,3249
dev,2,46,9976,10004.0,23032.0,2090,4176,3710,2400,3571,4005
dev,2,47,16456,10001.0,29027.0,3100,7501,5855,3502,6646,6308
dev,2,48,8623,10001.0,26016.0,3137,3097,2389,3605,3324,1694
dev,2,49,16668,10002.0,29027.0,2777,8259,5632,3315,7341,6012
dev,2,50,13395,10001.0,29015.0,4412,6278,2705,5053,5415,2927
dev,2,51,9728,10003.0,22010.0,1665,6550,1513,1944,6107,1677
dev,2,52,17636,10001.0,31019.0,3612,10521,3503,3879,9869,3888
dev,2,53,14463,10003.0,33028.0,3528,5654,5281,3310,5537,5616
dev,2,54,14346,10006.0,27033.0,3405,2752,8189,3497,6768,4081
dev,2,55,13270,10003.0,29018.0,3676,6624,2970,3697,6292,3281
dev,2,56,10723,10001.0,28027.0,2856,5859,2008,3230,5250,2243
dev,2,57,11461,10004.0,25023.0,2859,4216,4386,2325,4634,4502
dev,2,58,8225,10005.0,22003.0,3062,1399,3764,3140,926,4159
dev,2,59,13050,10006.0,29023.0,3819,6062,3169,3985,5448,3617
dev,2,60,11641,10004.0,29025.0,4606,2976,4059,4558,2643,4440
dev,2,61,11389,10003.0,28015.0,4567,4819,2003,4317,4725,2347
dev,2,62,9424,10003.0,23012.0,1771,5024,2629,2037,4538,2849
dev,2,63,9606,10004.0,16179.0,844,6898,1864,944,6600,2062
dev,2,64,11325,10003.0,31052.0,4102,3601,3622,3734,3479,4112
dev,2,65,11457,10002.0,27017.0,3291,5172,2994,3793,4388,3276
dev,2,66,10074,10006.0,25017.0,2966,3960,3148,3449,3160,3465
dev,2,67,14529,10001.0,29020.0,3843,7965,2721,4468,7133,2928
dev,2,68,8535,10001.0,22007.0,1717,3407,3411,1991,2933,3611
dev,2,69,9976,10004.0,23032.0,2090,4176,3710,2400,3571,4005
dev,2,70,9728,10003.0,22010.0,1665,6550,1513,1944,6107,1677
dev,2,71,10501,10001.0,25036.0,3009,5528,1964,3261,5198,2042
dev,2,72,6014,10003.0,25010.0,2813,1476,1725,3343,860,1811
dev,2,73,13270,10003.0,29018.0,3676,6624,2970,3697,6292,3281
dev,2,74,11036,10002.0,27020.0,3354,3193,4489,3654,4122,3260
dev,2,75,12732,10001.0,31028.0,3641,4448,4643,3653,3939,5140
dev,5,1,12343,10004.0,27033.0,3067,5992,3284,2858,5884,3601
dev,5,2,14175,10002.0,31026.0,4256,4659,5260,4309,4387,5479
dev,5,3,8755,10006.0,20017.0,1939,2703,4113,2161,2314,4280
dev,5,4,6941,10003.0,22008.0,1668,3880,1393,2036,3351,1554
dev,5,5,12383,10001.0,29019.0,4206,5523,2654,4736,4579,3068
dev,5,6,8734,10006.0,22008.0,1527,5495,1712,1727,5113,1894
dev,5,7,8128,10003.0,20009.0,1333,5226,1569,1505,4816,1807
dev,5,8,9976,10004.0,23032.0,2090,4176,3710,2400,3571,4005
dev,5,9,12874,10002.0,28022.0,3450,4660,4764,3895,3918,5061
dev,5,10,13050,10006.0,29023.0,3819,6062,3169,3985,5448,3617
dev,5,11,8928,10002.0,25019.0,2151,4055,2722,2568,3414,2946
dev,5,12,17636,10001.0,31019.0,3612,10521,3503,3879,9869,3888
dev,5,13,9717,10001.0,31017.0,3628,3641,2448,4210,2673,2834
dev,5,14,17398,10004.0,31019.0,3994,8806,4598,4662,7636,5100
dev,5,15,13940,10005.0,28020.0,3800,6079,4061,4340,5054,4546
dev,5,16,13572,10004.0,31017.0,4535,5191,3846,4190,5034,4348
dev,5,17,13850,10005.0,28028.0,3251,7821,2778,3618,7096,3136
dev,5,18,10723,10001.0,28027.0,2856,5859,2008,3230,5250,2243
dev,5,19,7826,10004.0,28023.0,3319,2005,2502,3848,1210,2768
dev,5,20,10723,10001.0,28027.0,2856,5859,2008,3230,5250,2243
dev,5,21,12874,10002.0,28022.0,3450,4660,4764,3895,3918,5061
dev,5,22,11573,10002.0,27010.0,3378,2869,5326,3665,3719,4189
dev,5,23,14331,10004.0,28029.0,2631,9164,2536,2981,8523,2827
dev,5,24,17186,10001.0,29024.0,4356,7219,5611,4257,7001,5928
dev,5,25,13008,10006.0,28013.0,2899,5755,4354,3113,5259,4636
dev,5,26,14262,10004.0,27048.0,5278,5961,3023,3590,7252,3420
dev,5,27,10440,10003.0,25016.0,3751,3291,3398,4239,2677,3524
dev,5,28,12874,10002.0,28022.0,3450,4660,4764,3895,3918,5061
dev,5,29,16470,10001.0,29039.0,2927,9014,4529,3350,9055,4065
dev,5,30,13008,10005.0,27017.0,5028,4517,3463,4894,4245,3869
