detector,phase_definition,subset,unit,flight_class,phase,n,mean,median,p90,p95,p99
raw_pca,primary,train,2,3,climb,57051,3.7815324484018454e-05,1.3982358151165078e-05,0.00010060552824165154,0.00015076083346616176,0.000242807911526732
raw_pca,primary,train,2,3,cruise,77394,8.383464411521357e-05,2.9386853888008925e-05,0.00014883721306308272,0.0004048972597827782,0.000913197484371313
raw_pca,primary,train,2,3,descent,54418,0.00016382045176290423,6.551312068910913e-05,0.0003690234714478829,0.0006057015365048531,0.0011879525446289244
raw_pca,primary,train,5,3,climb,49075,3.0476439891056592e-05,1.367950806016603e-05,8.383173177066285e-05,0.0001406197821422971,0.00020469767961787578
raw_pca,primary,train,5,3,cruise,86669,4.982803611122814e-05,4.327156272931898e-05,8.93272696019792e-05,0.00010897210081914288,0.00014792313991534784
raw_pca,primary,train,5,3,descent,52806,0.0001346722614995394,6.262014233771049e-05,0.00029428411117948263,0.0004373298245267612,0.0010023061402968435
raw_pca,primary,train,10,3,climb,50427,3.362538905528216e-05,1.562330236959031e-05,8.987798809652777e-05,0.0001344680667669773,0.00019634857156080324
raw_pca,primary,train,10,3,cruise,83833,4.461843693539257e-05,3.1559651281508576e-05,7.285737254153527e-05,9.604322969861353e-05,0.00036593131307729093
raw_pca,primary,train,10,3,descent,53790,0.00014452477933576225,6.699947363751637e-05,0.0003012332001140775,0.0004855054565684608,0.0010725741537372534
raw_pca,primary,train,16,3,climb,52689,4.1518208908059666e-05,2.3325759925858657e-05,0.00010744612484773632,0.00015873478641712885,0.00025075381898252485
raw_pca,primary,train,16,3,cruise,84042,8.707957243898132e-05,2.6664262266110177e-05,0.0002301853350090852,0.00041413600026570386,0.0010797390801611316
raw_pca,primary,train,16,3,descent,57888,0.00018696104610620945,6.894534284446244e-05,0.000493002530762681,0.0006561232928109658,0.001030328571896767
raw_pca,primary,train,all,mixed,climb,209242,3.601673549210392e-05,1.665928824967493e-05,9.69121321919752e-05,0.00014718889995006136,0.00022234824865568372
raw_pca,primary,train,all,mixed,cruise,331938,6.587279359066604e-05,3.172297293478686e-05,9.804540994849301e-05,0.0002064568275218283,0.0007962073916750346
raw_pca,primary,train,all,mixed,descent,218902,0.0001581670048800162,6.596983577446979e-05,0.00035536665551047465,0.0005664220003631419,0.0010423688350579764
raw_pca,primary,calibration,18,3,climb,56332,3.409397864316757e-05,1.8589937356402402e-05,8.566456170699214e-05,0.00012150376435992538,0.00020835454763529568
raw_pca,primary,calibration,18,3,cruise,78219,5.148052623058184e-05,2.6969842740244433e-05,7.034709140111023e-05,0.00013257793415336297,0.00036449798042464607
raw_pca,primary,calibration,18,3,descent,58738,0.000139758443511839,5.672679897161286e-05,0.00029193276087820355,0.0004890376766964991,0.0009668770175911072
raw_pca,primary,calibration,20,3,climb,53830,3.6991973408433765e-05,1.5892779656041763e-05,0.00010527283113087023,0.00014565113573610888,0.00022479813661690983
raw_pca,primary,calibration,20,3,cruise,68886,9.87496566794214e-05,4.778407082977373e-05,0.00016606216054604667,0.00039034871671087934,0.0009533617165462812
raw_pca,primary,calibration,20,3,descent,70638,0.0001367818851027188,6.262580247812713e-05,0.0002615985033057262,0.00044281671757752573,0.0009335780994975125
raw_pca,primary,calibration,all,mixed,climb,110162,3.551006638861772e-05,1.75074775752078e-05,9.461544710413634e-05,0.00013656045392083707,0.0002207541950592835
raw_pca,primary,calibration,all,mixed,cruise,147105,7.361560879132935e-05,3.196440069217112e-05,0.00010527047225611949,0.00021489615659379678,0.000775124281688458
raw_pca,primary,calibration,all,mixed,descent,129376,0.00013813327243757922,6.068136035854969e-05,0.00027563302492534294,0.00046973834026912547,0.0009505485944841405
raw_pca,primary,official_test,11,3,climb,53678,3.593410281567788e-05,2.0941445894063895e-05,8.21332782676998e-05,0.0001178929362041032,0.00019238022976937765
raw_pca,primary,official_test,11,3,cruise,86535,6.075586854183944e-05,2.12775650016813e-05,9.628382613852833e-05,0.00022378656603068734,0.0004883295369994808
raw_pca,primary,official_test,11,3,descent,73093,0.0001664159244533779,5.516683467853327e-05,0.00042841574510121404,0.0006593224894792294,0.0012394531748007801
raw_pca,primary,official_test,14,1,climb,12241,0.00011878436852581519,0.00011262345896641812,0.00021884411125859565,0.00025690967820447353,0.00035822751645259783
raw_pca,primary,official_test,14,1,cruise,33377,0.00011494960909710041,5.470325896815356e-05,0.00021896557393679718,0.000356462245863349,0.0012151455813595286
raw_pca,primary,official_test,14,1,descent,26650,0.00023598401492281308,0.00016939717776714736,0.0005411737629264226,0.000640576765595735,0.0008443570884063772
raw_pca,primary,official_test,15,2,climb,48789,5.950396726767503e-05,4.003850444347311e-05,0.00012738588134428983,0.00016806046337816932,0.0002652666815960542
