detector,phase_definition,unit,flight_class,calibration_phase,test_phase,threshold,n,false_alarms,false_alarm_rate
raw_pca,primary,11,3,climb,climb,0.00022086461742649045,53678,363,0.00676254703975558
raw_pca,primary,11,3,climb,cruise,0.00022086461742649045,86535,4388,0.05070780609002138
raw_pca,primary,11,3,climb,descent,0.00022086461742649045,73093,14683,0.20088106932264377
raw_pca,primary,14,1,climb,climb,0.00022086461742649045,12241,1194,0.09754105056776408
raw_pca,primary,14,1,climb,cruise,0.00022086461742649045,33377,3313,0.09925996944003355
raw_pca,primary,14,1,climb,descent,0.00022086461742649045,26650,9207,0.3454784240150094
raw_pca,primary,15,2,climb,climb,0.00022086461742649045,48789,1279,0.026214925495501036
raw_pca,primary,15,2,climb,cruise,0.00022086461742649045,53466,384,0.00718213444057906
raw_pca,primary,15,2,climb,descent,0.00022086461742649045,45284,8664,0.19132585460648352
raw_pca,primary,all,mixed,climb,climb,0.00022086461742649045,114708,2836,0.02472364612755867
raw_pca,primary,all,mixed,climb,cruise,0.00022086461742649045,173378,8085,0.046632214006390664
raw_pca,primary,all,mixed,climb,descent,0.00022086461742649045,145027,32554,0.2244685472360319
raw_pca,primary,11,3,cruise,climb,0.0007751272052875817,53678,2,3.7259212340251126e-05
raw_pca,primary,11,3,cruise,cruise,0.0007751272052875817,86535,141,0.0016293985092737044
raw_pca,primary,11,3,cruise,descent,0.0007751272052875817,73093,2512,0.03436717606337132
raw_pca,primary,14,1,cruise,climb,0.0007751272052875817,12241,1,8.169267216730659e-05
raw_pca,primary,14,1,cruise,cruise,0.0007751272052875817,33377,807,0.02417832639242592
raw_pca,primary,14,1,cruise,descent,0.0007751272052875817,26650,534,0.020037523452157598
raw_pca,primary,15,2,cruise,climb,0.0007751272052875817,48789,1,2.0496423374121217e-05
raw_pca,primary,15,2,cruise,cruise,0.0007751272052875817,53466,71,0.001327946732502899
raw_pca,primary,15,2,cruise,descent,0.0007751272052875817,45284,309,0.006823602155286636
raw_pca,primary,all,mixed,cruise,climb,0.0007751272052875817,114708,4,3.48711510966977e-05
raw_pca,primary,all,mixed,cruise,cruise,0.0007751272052875817,173378,1019,0.00587733161070032
raw_pca,primary,all,mixed,cruise,descent,0.0007751272052875817,145027,3355,0.023133623394264516
raw_pca,primary,11,3,descent,climb,0.000950702599109872,53678,1,1.8629606170125563e-05
raw_pca,primary,11,3,descent,cruise,0.000950702599109872,86535,100,0.0011556017796267406
raw_pca,primary,11,3,descent,descent,0.000950702599109872,73093,1407,0.019249449331673347
raw_pca,primary,14,1,descent,climb,0.000950702599109872,12241,1,8.169267216730659e-05
raw_pca,primary,14,1,descent,cruise,0.000950702599109872,33377,701,0.021002486742367498
raw_pca,primary,14,1,descent,descent,0.000950702599109872,26650,68,0.002551594746716698
raw_pca,primary,15,2,descent,climb,0.000950702599109872,48789,1,2.0496423374121217e-05
raw_pca,primary,15,2,descent,cruise,0.000950702599109872,53466,59,0.0011035050312348034
raw_pca,primary,15,2,descent,descent,0.000950702599109872,45284,117,0.002583694019962901
raw_pca,primary,all,mixed,descent,climb,0.000950702599109872,114708,3,2.6153363322523277e-05
raw_pca,primary,all,mixed,descent,cruise,0.000950702599109872,173378,860,0.004960260240630299
raw_pca,primary,all,mixed,descent,descent,0.000950702599109872,145027,1592,0.010977266302136843
raw_pca,alt_rate,11,3,climb,climb,0.00023851687070318458,58507,364,0.006221477771890543
raw_pca,alt_rate,11,3,climb,cruise,0.00023851687070318458,83871,3401,0.04055036901908884
raw_pca,alt_rate,11,3,climb,descent,0.00023851687070318458,70928,14397,0.2029804872546808
raw_pca,alt_rate,14,1,climb,climb,0.00023851687070318458,13993,931,0.06653326663331666
raw_pca,alt_rate,14,1,climb,cruise,0.00023851687070318458,30506,2816,0.09230970956533141
raw_pca,alt_rate,14,1,climb,descent,0.00023851687070318458,27769,8661,0.31189455868054305
raw_pca,alt_rate,15,2,climb,climb,0.00023851687070318458,53843,936,0.017383875341269988
raw_pca,alt_rate,15,2,climb,cruise,0.00023851687070318458,43303,134,0.0030944738239844813
raw_pca,alt_rate,15,2,climb,descent,0.00023851687070318458,50393,7790,0.15458496219713055
raw_pca,alt_rate,all,mixed,climb,climb,0.00023851687070318458,126343,2231,0.017658279445636086
raw_pca,alt_rate,all,mixed,climb,cruise,0.00023851687070318458,157680,6351,0.04027777777777778
raw_pca,alt_rate,all,mixed,climb,descent,0.00023851687070318458,149090,30848,0.2069085787108458
raw_pca,alt_rate,11,3,cruise,climb,0.000759273802247087,58507,11,0.00018801169090878014
raw_pca,alt_rate,11,3,cruise,cruise,0.000759273802247087,83871,97,0.0011565380167161475
raw_pca,alt_rate,11,3,cruise,descent,0.000759273802247087,70928,2669,0.03762970900067674
raw_pca,alt_rate,14,1,cruise,climb,0.000759273802247087,13993,1,7.14643035803616e-05
raw_pca,alt_rate,14,1,cruise,cruise,0.000759273802247087,30506,691,0.022651281715072445
raw_pca,alt_rate,14,1,cruise,descent,0.000759273802247087,27769,706,0.02542403399474234
raw_pca,alt_rate,15,2,cruise,climb,0.000759273802247087,53843,1,1.8572516390245713e-05
raw_pca,alt_rate,15,2,cruise,cruise,0.000759273802247087,43303,56,0.0012932129413666489
raw_pca,alt_rate,15,2,cruise,descent,0.000759273802247087,50393,364,0.0072232254479788855
raw_pca,alt_rate,all,mixed,cruise,climb,0.000759273802247087,126343,13,0.00010289450147614035
raw_pca,alt_rate,all,mixed,cruise,cruise,0.000759273802247087,157680,844,0.005352612886859462
raw_pca,alt_rate,all,mixed,cruise,descent,0.000759273802247087,149090,3739,0.025078811456167416
raw_pca,alt_rate,11,3,descent,climb,0.0009750256866539797,58507,9,0.00015382774710718375
raw_pca,alt_rate,11,3,descent,cruise,0.0009750256866539797,83871,66,0.0007869227742604714
raw_pca,alt_rate,11,3,descent,descent,0.0009750256866539797,70928,1359,0.019160275208662307
raw_pca,alt_rate,14,1,descent,climb,0.0009750256866539797,13993,1,7.14643035803616e-05
raw_pca,alt_rate,14,1,descent,cruise,0.0009750256866539797,30506,600,0.01966826198124959
raw_pca,alt_rate,14,1,descent,descent,0.0009750256866539797,27769,143,0.005149627282221182
raw_pca,alt_rate,15,2,descent,climb,0.0009750256866539797,53843,1,1.8572516390245713e-05
raw_pca,alt_rate,15,2,descent,cruise,0.0009750256866539797,43303,45,0.0010391889707410571
raw_pca,alt_rate,15,2,descent,descent,0.0009750256866539797,50393,119,0.002361439088762328
raw_pca,alt_rate,all,mixed,descent,climb,0.0009750256866539797,126343,11,8.706457817211876e-05
raw_pca,alt_rate,all,mixed,descent,cruise,0.0009750256866539797,157680,711,0.0045091324200913245
raw_pca,alt_rate,all,mixed,descent,descent,0.0009750256866539797,149090,1621,0.010872627272117514
condition_corrected_pca,primary,11,3,climb,climb,0.1062353730938463,53678,318,0.005924214762099929
condition_corrected_pca,primary,11,3,climb,cruise,0.1062353730938463,86535,2184,0.025238342867048014
condition_corrected_pca,primary,11,3,climb,descent,0.1062353730938463,73093,9217,0.12609962650322193
condition_corrected_pca,primary,14,1,climb,climb,0.1062353730938463,12241,420,0.03431092231026877
condition_corrected_pca,primary,14,1,climb,cruise,0.1062353730938463,33377,1787,0.053539862779758515
condition_corrected_pca,primary,14,1,climb,descent,0.1062353730938463,26650,4237,0.15898686679174484
condition_corrected_pca,primary,15,2,climb,climb,0.1062353730938463,48789,660,0.013527639426920002
condition_corrected_pca,primary,15,2,climb,cruise,0.1062353730938463,53466,1164,0.021770845023005275
condition_corrected_pca,primary,15,2,climb,descent,0.1062353730938463,45284,7294,0.16107234343255897
condition_corrected_pca,primary,all,mixed,climb,climb,0.1062353730938463,114708,1398,0.012187467308295848
condition_corrected_pca,primary,all,mixed,climb,cruise,0.1062353730938463,173378,5135,0.029617367832135564
condition_corrected_pca,primary,all,mixed,climb,descent,0.1062353730938463,145027,20748,0.14306301585222062
condition_corrected_pca,primary,11,3,cruise,climb,0.1760146504292432,53678,161,0.0029993665933902157
