unit,calibration_phase,test_phase,threshold,n,false_alarms,false_alarm_rate
11,climb,climb,0.00022086461742649045,53678,363,0.00676254703975558
11,climb,cruise,0.00022086461742649045,86535,4388,0.05070780609002138
11,climb,descent,0.00022086461742649045,73093,14683,0.20088106932264377
14,climb,climb,0.00022086461742649045,12241,1194,0.09754105056776408
14,climb,cruise,0.00022086461742649045,33377,3313,0.09925996944003355
14,climb,descent,0.00022086461742649045,26650,9207,0.3454784240150094
15,climb,climb,0.00022086461742649045,48789,1279,0.026214925495501036
15,climb,cruise,0.00022086461742649045,53466,384,0.00718213444057906
15,climb,descent,0.00022086461742649045,45284,8664,0.19132585460648352
all,climb,climb,0.00022086461742649045,114708,2836,0.02472364612755867
all,climb,cruise,0.00022086461742649045,173378,8085,0.046632214006390664
all,climb,descent,0.00022086461742649045,145027,32554,0.2244685472360319
11,cruise,climb,0.0007751272052875817,53678,2,3.7259212340251126e-05
11,cruise,cruise,0.0007751272052875817,86535,141,0.0016293985092737044
11,cruise,descent,0.0007751272052875817,73093,2512,0.03436717606337132
14,cruise,climb,0.0007751272052875817,12241,1,8.169267216730659e-05
14,cruise,cruise,0.0007751272052875817,33377,807,0.02417832639242592
14,cruise,descent,0.0007751272052875817,26650,534,0.020037523452157598
15,cruise,climb,0.0007751272052875817,48789,1,2.0496423374121217e-05
15,cruise,cruise,0.0007751272052875817,53466,71,0.001327946732502899
15,cruise,descent,0.0007751272052875817,45284,309,0.006823602155286636
all,cruise,climb,0.0007751272052875817,114708,4,3.48711510966977e-05
all,cruise,cruise,0.0007751272052875817,173378,1019,0.00587733161070032
all,cruise,descent,0.0007751272052875817,145027,3355,0.023133623394264516
11,descent,climb,0.000950702599109872,53678,1,1.8629606170125563e-05
11,descent,cruise,0.000950702599109872,86535,100,0.0011556017796267406
11,descent,descent,0.000950702599109872,73093,1407,0.019249449331673347
14,descent,climb,0.000950702599109872,12241,1,8.169267216730659e-05
14,descent,cruise,0.000950702599109872,33377,701,0.021002486742367498
14,descent,descent,0.000950702599109872,26650,68,0.002551594746716698
15,descent,climb,0.000950702599109872,48789,1,2.0496423374121217e-05
15,descent,cruise,0.000950702599109872,53466,59,0.0011035050312348034
15,descent,descent,0.000950702599109872,45284,117,0.002583694019962901
all,descent,climb,0.000950702599109872,114708,3,2.6153363322523277e-05
all,descent,cruise,0.000950702599109872,173378,860,0.004960260240630299
all,descent,descent,0.000950702599109872,145027,1592,0.010977266302136843
